句1模型,句1词牌,句1题目,句1内容,句2模型,句2词牌,句2题目,句2内容,语义相似度,字面相似度,差值(伪原创指数)
deepseek-3.2-thinking,清平乐,感怀宗规,云锁峰峦千叠,qwen3.6-plus,菩萨蛮,云崖问剑,灵峰叠嶂锁云岫,0.8875,0.1538,0.7337
doubao-seed-2.0-pro,沁园春,登云阁望剑坪有感,云锁层峰,qwen3.6-plus,菩萨蛮,云崖问剑,灵峰叠嶂锁云岫,0.8536,0.1818,0.6718
doubao-seed-2.0-pro,沁园春,登望云峰有感,云锁层峰,qwen3.6-plus,菩萨蛮,云崖问剑,灵峰叠嶂锁云岫,0.8536,0.1818,0.6718
doubao-seed-2.0-pro,沁园春,宗门晚眺抒怀,云锁层峰,qwen3.6-plus,菩萨蛮,云崖问剑,灵峰叠嶂锁云岫,0.8536,0.1818,0.6718
doubao-seed-2.0-pro,沁园春,宗阁抒怀,云锁层峰,qwen3.6-plus,菩萨蛮,云崖问剑,灵峰叠嶂锁云岫,0.8536,0.1818,0.6718
doubao-seed-2.0-pro,沁园春,登云阁望剑坪有感,霜凝剑锷,qwen3.6-plus,菩萨蛮,云阶问律,剑魄凝霜重,0.8824,0.2222,0.6602
doubao-seed-2.0-pro,沁园春,登云阁望剑坪有感,霜凝剑锷,qwen3.6-plus,浪淘沙,宗门规诫有感,剑气凝霜,0.9091,0.2500,0.6591
deepseek-3.2-thinking,菩萨蛮,宗规思变,改革路艰深,deepseek-3.2-thinking,沁园春,宗规思变,变革途多阻,0.8584,0.2000,0.6584
deepseek-3.2-thinking,沁园春,宗规感怀,权衡利弊,deepseek-3.2-thinking,沁园春,仙门思变,有弊利相权,0.8801,0.2222,0.6578
doubao-seed-2.0-pro,清平乐,宗门夜坐感怀,霜凝剑鞘,qwen3.6-plus,菩萨蛮,云阶问律,剑魄凝霜重,0.8744,0.2222,0.6522
deepseek-3.2-thinking,沁园春,宗规思变,变革途多阻,deepseek-3.2-thinking,祝英台近,宗规思变,改革路艰险,0.8509,0.2000,0.6509
deepseek-3.2-thinking,浪淘沙,宗规感怀,规矩卫宗风,deepseek-3.2-thinking,沁园春,宗规感怀,宗派规严,0.8689,0.2222,0.6466
qwen3.6-plus,沁园春,宗律有感,严霜砺剑,glm-5,祝英台近,宗规,寒剑凛霜刃,0.8590,0.2222,0.6368
qwen3.6-plus,浪淘沙,清规叹,独倚危栏,glm-5,沁园春,宗门旧制,独对阑干,0.8860,0.2500,0.6360
qwen3.6-plus,浪淘沙,宗门夜叹,独倚危栏,glm-5,沁园春,宗门旧制,独对阑干,0.8860,0.2500,0.6360
glm-5,沁园春,宗门旧制,独对阑干,glm-5,浪淘沙,宗门旧规感怀,独倚危栏,0.8860,0.2500,0.6360
glm-5,沁园春,宗门旧制,独对阑干,glm-5,浪淘沙,宗门感怀,独倚危栏,0.8860,0.2500,0.6360
glm-5,沁园春,宗门旧制,独倚危栏,glm-5,沁园春,宗门旧制,独对阑干,0.8860,0.2500,0.6360
doubao-seed-2.0-pro,浪淘沙,松寮夜坐抒怀,动议众声嘲,glm-5,浪淘沙,规矩之叹,众议喧繁,0.8582,0.2222,0.6360
doubao-seed-2.0-pro,沁园春,凌霄峰感事,锋凝霜雪,qwen3.6-plus,祝英台近,剑阁秋思,霜刃凝秋玉,0.8578,0.2222,0.6356
deepseek-3.2-thinking,清平乐,宗门感事,宗规旧矩,deepseek-3.2-thinking,清平乐,规变沉吟,规矩保宗风,0.8569,0.2222,0.6347
doubao-seed-2.0-pro,沁园春,宗门感事,霜凝剑匣,qwen3.6-plus,菩萨蛮,云阶问律,剑魄凝霜重,0.8565,0.2222,0.6343
doubao-seed-2.0-pro,沁园春,宗阁有所思,霜横剑锷,qwen3.6-plus,祝英台近,云崖戒尺吟,剑阁霜锋冷,0.8564,0.2222,0.6342
qwen3.6-plus,祝英台近,云崖问剑,霜毛渐染,glm-5,浪淘沙,宗门感怀,鬓染霜斑,0.8834,0.2500,0.6334
doubao-seed-2.0-pro,沁园春,宗阁有所思,霜横剑锷,glm-5,沁园春,宗门改制有感,剑气横秋,0.8802,0.2500,0.6302
deepseek-3.2-thinking,沁园春,改革之思,规训承传,qwen3.6-plus,沁园春,宗门夜思,师尊垂训,0.8787,0.2500,0.6287
qwen3.6-plus,清平乐,道枢偶感,严规冷矩,qwen3.6-plus,清平乐,观规有感,清规严锢,0.8781,0.2500,0.6281
doubao-seed-2.0-pro,沁园春,宗门夜坐书怀,云锁玄峰,deepseek-3.2-thinking,沁园春,规革沉吟,灵峰雾锁,0.8771,0.2500,0.6271
doubao-seed-2.0-pro,沁园春,宗门夜思,云锁玄峰,deepseek-3.2-thinking,沁园春,规革沉吟,灵峰雾锁,0.8771,0.2500,0.6271
doubao-seed-2.0-pro,清平乐,宗门夜坐感怀,霜凝剑鞘,qwen3.6-plus,浪淘沙,宗门规诫有感,剑气凝霜,0.8767,0.2500,0.6267
deepseek-3.2-thinking,浪淘沙,宗门感怀,规守宗传,deepseek-3.2-thinking,沁园春,宗规感怀,宗派规严,0.8761,0.2500,0.6261
deepseek-3.2-thinking,沁园春,仙规思变,云锁仙峰,deepseek-3.2-thinking,沁园春,规革沉吟,灵峰雾锁,0.8740,0.2500,0.6240
deepseek-3.2-thinking,沁园春,规革沉吟,灵峰雾锁,deepseek-3.2-thinking,沁园春,宗规感怀,云锁仙峰,0.8740,0.2500,0.6240
deepseek-3.2-thinking,沁园春,仙规思变,云锁仙峰,deepseek-3.2-thinking,沁园春,改革之思,仙山雾锁,0.8739,0.2500,0.6239
deepseek-3.2-thinking,沁园春,改革之思,仙山雾锁,deepseek-3.2-thinking,沁园春,宗规感怀,云锁仙峰,0.8739,0.2500,0.6239
doubao-seed-2.0-pro,沁园春,凌霄峰感事,锋凝霜雪,qwen3.6-plus,浪淘沙,观规有感,霜刃凝寒,0.8727,0.2500,0.6227
doubao-seed-2.0-pro,沁园春,宗阁抒怀,独倚旧栏,glm-5,沁园春,宗门旧制,独对阑干,0.8726,0.2500,0.6226
deepseek-3.2-thinking,沁园春,宗门感怀,规矩千年,qwen3.6-plus,祝英台近,云枢长老观剑阁有感,千载规绳,0.8679,0.2500,0.6179
qwen3.6-plus,浪淘沙,破阵辞,霜刃凝秋,qwen3.6-plus,浪淘沙,山门夜思,霜锷生寒,0.8658,0.2500,0.6158
doubao-seed-2.0-pro,沁园春,登观星台述怀,雾锁松关,doubao-seed-2.0-pro,清平乐,宗门夜坐抒怀,云关深锁,0.8650,0.2500,0.6150
deepseek-3.2-thinking,沁园春,宗门感怀,雾锁仙峰,deepseek-3.2-thinking,沁园春,宗规感怀,仙山云锁,0.8643,0.2500,0.6143
deepseek-3.2-thinking,沁园春,宗规感怀,灵山巍巍,deepseek-3.2-thinking,沁园春,仙门思变,仙岳巍峨,0.8619,0.2500,0.6119
deepseek-3.2-thinking,浪淘沙,宗门夜思,宗法规严,deepseek-3.2-thinking,浪淘沙,宗门感怀,规守宗传,0.8593,0.2500,0.6093
doubao-seed-2.0-pro,祝英台近,宗门夜坐书怀,旧律承传,glm-5,沁园春,宗门旧制感怀,传承旧制,0.8586,0.2500,0.6086
deepseek-3.2-thinking,菩萨蛮,宗规叹,宗门铁律千年立,deepseek-3.2-thinking,菩萨蛮,改革之思,铁律宗门传万古,0.8937,0.2857,0.6080
doubao-seed-2.0-pro,沁园春,宗门感事,霜凝剑匣,qwen3.6-plus,浪淘沙,宗门规诫有感,剑气凝霜,0.8577,0.2500,0.6077
doubao-seed-2.0-pro,沁园春,宗门夜思,束性拘灵,deepseek-3.2-thinking,沁园春,宗规感怀,灵性囚笼,0.8575,0.2500,0.6075
doubao-seed-2.0-pro,沁园春,凌霄峰感事,锋凝霜雪,qwen3.6-plus,浪淘沙,破阵辞,霜刃凝秋,0.8563,0.2500,0.6063
doubao-seed-2.0-pro,沁园春,登观星台述怀,雾锁松关,qwen3.6-plus,清平乐,云门问剑,云门深锁,0.8557,0.2500,0.6057
doubao-seed-2.0-pro,沁园春,宗门感怀,剑立层峰,doubao-seed-2.0-pro,沁园春,宗门感事,群峰危立,0.8550,0.2500,0.6050
doubao-seed-2.0-pro,沁园春,宗门感怀,寒锋砺刃,doubao-seed-2.0-pro,沁园春,宗门述怀,霜锋淬影,0.8532,0.2500,0.6032
doubao-seed-2.0-pro,沁园春,宗门抒怀,夜淬寒锋,qwen3.6-plus,祝英台近,云壑新律,长锋裂夜,0.8515,0.2500,0.6015
deepseek-3.2-thinking,沁园春,宗规感怀,灵山巍巍,deepseek-3.2-thinking,沁园春,宗门感怀,宗门巍峨,0.8508,0.2500,0.6008
deepseek-3.2-thinking,祝英台近,规锁吟,奈独坐、夜阑无寐,deepseek-3.2-thinking,清平乐,宗门夜思,独立深宵不寐,0.8847,0.2857,0.5990
qwen3.6-plus,祝英台近,剑阁春寒,长夜独对孤灯,qwen3.6-plus,清平乐,夜望宗门,独对残灯长夜,0.9283,0.3333,0.5950
deepseek-3.2-thinking,菩萨蛮,宗规思变,宗门铁律千年固,deepseek-3.2-thinking,菩萨蛮,改革之思,铁律宗门传万古,0.8806,0.2857,0.5948
doubao-seed-2.0-pro,沁园春,登凌霄阁有感,独倚阁阑,qwen3.6-plus,祝英台近,云枢长老观剑阁有感,倚危栏,0.8803,0.2857,0.5946
qwen3.6-plus,祝英台近,云枢长老观剑阁有感,倚危栏,qwen3.6-plus,沁园春,宗门夜思,独倚阑干,0.8752,0.2857,0.5895
qwen3.6-plus,祝英台近,云枢长老观剑阁有感,倚危栏,glm-5,浪淘沙,规矩之叹,独倚阑干,0.8752,0.2857,0.5895
doubao-seed-2.0-pro,浪淘沙,宗门夜望感怀,独倚阑干,qwen3.6-plus,祝英台近,云枢长老观剑阁有感,倚危栏,0.8752,0.2857,0.5895
doubao-seed-2.0-pro,沁园春,宗门感怀,寒锋砺刃,qwen3.6-plus,祝英台近,云崖问剑,淬霜锋,0.8730,0.2857,0.5873
doubao-seed-2.0-pro,沁园春,宗门夜坐感怀,凭阑望,doubao-seed-2.0-pro,祝英台近,宗门夜望有感,凭栏伫,0.9187,0.3333,0.5854
qwen3.6-plus,祝英台近,云笈问剑,凝霜刃,qwen3.6-plus,祝英台近,剑阁书怀,霜锋凝处,0.8643,0.2857,0.5786
deepseek-3.2-thinking,浪淘沙,宗门感怀,千年铁律压青松,deepseek-3.2-thinking,清平乐,宗规思变,铁律千年如岳竖,0.8594,0.2857,0.5737
doubao-seed-2.0-pro,沁园春,宗门感事,凭阑久,doubao-seed-2.0-pro,祝英台近,宗门夜望有感,凭栏伫,0.9059,0.3333,0.5726
doubao-seed-2.0-pro,沁园春,宗门感怀,凭阑久,doubao-seed-2.0-pro,祝英台近,宗门夜望有感,凭栏伫,0.9059,0.3333,0.5726
doubao-seed-2.0-pro,沁园春,宗门夜坐感事,凭阑久,doubao-seed-2.0-pro,祝英台近,宗门夜望有感,凭栏伫,0.9059,0.3333,0.5726
qwen3.6-plus,沁园春,云崖长老自遣,寒锋淬火,qwen3.6-plus,祝英台近,云崖问剑,淬霜锋,0.8561,0.2857,0.5704
doubao-seed-2.0-pro,沁园春,宗门感怀,凭阑久,qwen3.6-plus,沁园春,宗门夜思,凭栏立,0.9021,0.3333,0.5688
doubao-seed-2.0-pro,沁园春,宗门感事,凭阑久,qwen3.6-plus,沁园春,宗门夜思,凭栏立,0.9021,0.3333,0.5688
doubao-seed-2.0-pro,沁园春,宗门夜坐感事,凭阑久,qwen3.6-plus,沁园春,宗门夜思,凭栏立,0.9021,0.3333,0.5688
doubao-seed-2.0-pro,沁园春,玄宗夜坐书怀,凭栏立,doubao-seed-2.0-pro,沁园春,宗门夜坐感事,凭阑久,0.9021,0.3333,0.5688
doubao-seed-2.0-pro,沁园春,玄宗夜坐书怀,凭栏立,doubao-seed-2.0-pro,沁园春,宗门感怀,凭阑久,0.9021,0.3333,0.5688
doubao-seed-2.0-pro,沁园春,宗门感事,凭阑久,doubao-seed-2.0-pro,沁园春,玄宗夜坐书怀,凭栏立,0.9021,0.3333,0.5688
doubao-seed-2.0-pro,沁园春,登凌霄阁有感,独倚阁阑,glm-5,祝英台近,宗规叹,倚危楼,0.8518,0.2857,0.5660
doubao-seed-2.0-pro,沁园春,登凌霄阁有感,独倚阁阑,glm-5,祝英台近,宗规,倚危楼,0.8518,0.2857,0.5660
qwen3.6-plus,祝英台近,剑阁书怀,严古训,qwen3.6-plus,祝英台近,宗门思变,祖训虽严,0.8513,0.2857,0.5656
deepseek-3.2-thinking,祝英台近,宗门感怀,夜阑独倚琼楼,qwen3.6-plus,清平乐,宗规叹,独倚危栏夜阑,0.8961,0.3333,0.5628
doubao-seed-2.0-pro,祝英台近,云阁夜坐有感,旧规百代承传,doubao-seed-2.0-pro,浪淘沙,宗门夜望感怀,旧矩传承数百载,0.8691,0.3077,0.5614
qwen3.6-plus,清平乐,门规叹,云涛怒卷天摇,qwen3.6-plus,菩萨蛮,剑阁秋思,天风卷阵云涛荡,0.8623,0.3077,0.5546
doubao-seed-2.0-pro,祝英台近,云阁夜坐有感,旧规百代承传,doubao-seed-2.0-pro,清平乐,宗门夜坐抒怀,旧矩传沿千世定,0.8541,0.3077,0.5464
doubao-seed-2.0-pro,沁园春,宗门述怀,仗峻法森严御寇兵,qwen3.6-plus,祝英台近,宗门感怀,御敌仗严护,0.8510,0.3077,0.5433
deepseek-3.2-thinking,祝英台近,宗门变革思,战力赖规矩,deepseek-3.2-thinking,祝英台近,宗门夜思,规矩虽保战力,0.9061,0.3636,0.5425
doubao-seed-2.0-pro,沁园春,宗门夜坐感怀,凭阑望,qwen3.6-plus,沁园春,宗门夜思,凭栏立,0.8757,0.3333,0.5423
doubao-seed-2.0-pro,沁园春,玄宗夜坐书怀,凭栏立,doubao-seed-2.0-pro,沁园春,宗门夜坐感怀,凭阑望,0.8757,0.3333,0.5423
doubao-seed-2.0-pro,沁园春,宗门感怀,凭阑久,glm-5,沁园春,宗门改制有感,凭栏意,0.8721,0.3333,0.5387
doubao-seed-2.0-pro,沁园春,宗门夜坐感事,凭阑久,glm-5,沁园春,宗门改制有感,凭栏意,0.8721,0.3333,0.5387
doubao-seed-2.0-pro,沁园春,宗门感事,凭阑久,glm-5,沁园春,宗门改制有感,凭栏意,0.8721,0.3333,0.5387
qwen3.6-plus,沁园春,云阙规衡,万缕千丝理未清,qwen3.6-plus,菩萨蛮,云渊宗规,欲理千丝结,0.8703,0.3333,0.5370
deepseek-3.2-thinking,祝英台近,宗规思变,规矩古,deepseek-3.2-thinking,祝英台近,宗门夜思,规训固,0.8684,0.3333,0.5351
deepseek-3.2-thinking,祝英台近,宗门夜思,规训固,deepseek-3.2-thinking,祝英台近,宗门夜思,规矩古,0.8684,0.3333,0.5351
deepseek-3.2-thinking,祝英台近,宗门夜思,规训固,deepseek-3.2-thinking,祝英台近,宗规思变,规矩古,0.8684,0.3333,0.5351
deepseek-3.2-thinking,祝英台近,宗门夜思,规训固,deepseek-3.2-thinking,祝英台近,宗门夜思,规矩古,0.8684,0.3333,0.5351
deepseek-3.2-thinking,祝英台近,宗门思变,规训固,deepseek-3.2-thinking,祝英台近,宗规思变,规矩古,0.8684,0.3333,0.5351
deepseek-3.2-thinking,祝英台近,宗门思变,规训固,deepseek-3.2-thinking,祝英台近,宗门夜思,规矩古,0.8684,0.3333,0.5351
deepseek-3.2-thinking,祝英台近,规变思,灵根锁,qwen3.6-plus,祝英台近,剑阁秋思,锁灵泉,0.8680,0.3333,0.5346
deepseek-3.2-thinking,沁园春,宗规感怀,长叹矣,qwen3.6-plus,沁园春,玄门问剑,长嗟久,0.8665,0.3333,0.5331
doubao-seed-2.0-pro,沁园春,宗门感怀,凭阑久,deepseek-3.2-thinking,沁园春,宗规思变,凭栏望,0.8655,0.3333,0.5322
doubao-seed-2.0-pro,沁园春,宗门感事,凭阑久,doubao-seed-2.0-pro,沁园春,凌霄阁夜坐抒怀,凭栏望,0.8655,0.3333,0.5322
doubao-seed-2.0-pro,沁园春,凌霄阁夜坐抒怀,凭栏望,doubao-seed-2.0-pro,沁园春,宗门感怀,凭阑久,0.8655,0.3333,0.5322
doubao-seed-2.0-pro,沁园春,宗门夜坐感事,凭阑久,doubao-seed-2.0-pro,沁园春,凌霄阁夜坐抒怀,凭栏望,0.8655,0.3333,0.5322
doubao-seed-2.0-pro,沁园春,宗门感事,凭阑久,deepseek-3.2-thinking,沁园春,宗规思变,凭栏望,0.8655,0.3333,0.5322
doubao-seed-2.0-pro,沁园春,宗门夜坐感事,凭阑久,deepseek-3.2-thinking,沁园春,宗规思变,凭栏望,0.8655,0.3333,0.5322
doubao-seed-2.0-pro,清平乐,宗门偶感,众口难排异议,doubao-seed-2.0-pro,清平乐,夜坐宗堂有感,群僚异议难排,0.8628,0.3333,0.5295
doubao-seed-2.0-pro,沁园春,宗阁抒怀,凭栏久,doubao-seed-2.0-pro,沁园春,宗门夜坐感怀,凭阑望,0.8626,0.3333,0.5293
doubao-seed-2.0-pro,沁园春,宗门夜坐抒怀,凭栏久,doubao-seed-2.0-pro,沁园春,宗门夜坐感怀,凭阑望,0.8626,0.3333,0.5293
doubao-seed-2.0-pro,沁园春,宗门述怀,凭栏久,doubao-seed-2.0-pro,沁园春,宗门夜坐感怀,凭阑望,0.8626,0.3333,0.5293
doubao-seed-2.0-pro,沁园春,宗门夜坐感怀,凭阑望,qwen3.6-plus,沁园春,云笈问剑,凭栏久,0.8626,0.3333,0.5293
doubao-seed-2.0-pro,沁园春,宗门夜坐感怀,凭阑望,qwen3.6-plus,沁园春,道枢沉吟,凭栏久,0.8626,0.3333,0.5293
doubao-seed-2.0-pro,沁园春,宗门夜坐感怀,凭阑望,qwen3.6-plus,沁园春,剑阁问心,凭栏久,0.8626,0.3333,0.5293
doubao-seed-2.0-pro,沁园春,宗门夜坐感怀,凭阑望,qwen3.6-plus,沁园春,宗规叹,凭栏久,0.8626,0.3333,0.5293
doubao-seed-2.0-pro,沁园春,宗门夜坐感怀,凭阑望,qwen3.6-plus,沁园春,宗门夜叹,凭栏久,0.8626,0.3333,0.5293
doubao-seed-2.0-pro,沁园春,宗门夜坐感怀,凭阑望,glm-5,沁园春,宗门感怀,凭栏久,0.8626,0.3333,0.5293
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,doubao-seed-2.0-pro,沁园春,宗门夜坐感怀,凭阑望,0.8626,0.3333,0.5293
doubao-seed-2.0-pro,沁园春,凌霄宗议事书怀,凭栏久,doubao-seed-2.0-pro,沁园春,宗门夜坐感怀,凭阑望,0.8626,0.3333,0.5293
doubao-seed-2.0-pro,沁园春,玄峰议事后感,凭栏久,doubao-seed-2.0-pro,沁园春,宗门夜坐感怀,凭阑望,0.8626,0.3333,0.5293
doubao-seed-2.0-pro,沁园春,玄峰夜坐抒怀,凭栏久,doubao-seed-2.0-pro,沁园春,宗门夜坐感怀,凭阑望,0.8626,0.3333,0.5293
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,doubao-seed-2.0-pro,沁园春,宗门夜坐感怀,凭阑望,0.8626,0.3333,0.5293
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,doubao-seed-2.0-pro,沁园春,宗门夜坐感怀,凭阑望,0.8626,0.3333,0.5293
doubao-seed-2.0-pro,沁园春,宗门感事,凭栏久,doubao-seed-2.0-pro,沁园春,宗门夜坐感怀,凭阑望,0.8626,0.3333,0.5293
doubao-seed-2.0-pro,沁园春,登云阁望剑坪有感,凭栏久,doubao-seed-2.0-pro,沁园春,宗门夜坐感怀,凭阑望,0.8626,0.3333,0.5293
doubao-seed-2.0-pro,沁园春,宗阁夜望有感,凭栏久,doubao-seed-2.0-pro,沁园春,宗门夜坐感怀,凭阑望,0.8626,0.3333,0.5293
doubao-seed-2.0-pro,沁园春,云门感怀,凭栏久,doubao-seed-2.0-pro,沁园春,宗门夜坐感怀,凭阑望,0.8626,0.3333,0.5293
doubao-seed-2.0-pro,沁园春,凌霄宗感事,凭栏久,doubao-seed-2.0-pro,沁园春,宗门夜坐感怀,凭阑望,0.8626,0.3333,0.5293
doubao-seed-2.0-pro,沁园春,云阁夜思,凭栏久,doubao-seed-2.0-pro,沁园春,宗门夜坐感怀,凭阑望,0.8626,0.3333,0.5293
