句1模型,句1词牌,句1题目,句1内容,句2模型,句2词牌,句2题目,句2内容,语义相似度,字面相似度,差值(伪原创指数)
deepseek-3.2-thinking,浪淘沙,宗规感怀,规矩卫宗风,deepseek-3.2-thinking,清平乐,宗门感事,宗规旧矩,0.8805,0.4444,0.4360
deepseek-3.2-thinking,浪淘沙,宗规感怀,规矩卫宗风,deepseek-3.2-thinking,清平乐,宗门感事,宗规旧矩,0.8805,0.4444,0.4360
qwen3.6-plus,祝英台近,云崖戒尺吟,剑阁霜锋冷,glm-5,祝英台近,宗门旧制,霜锋剑影,0.8797,0.4444,0.4353
doubao-seed-2.0-pro,清平乐,观门下弟子演法作,列阵霜锋皎,qwen3.6-plus,清平乐,观剑阁弟子训有感,寒锋列阵,0.8797,0.4444,0.4353
deepseek-3.2-thinking,浪淘沙,宗门夜思,宗门旧制革新难,deepseek-3.2-thinking,浪淘沙,宗规感怀,革新旧制两难全,0.8637,0.4286,0.4351
deepseek-3.2-thinking,沁园春,规革沉吟,月照寒潭,qwen3.6-plus,祝英台近,云崖夜思,寒潭照孤影,0.8795,0.4444,0.4351
deepseek-3.2-thinking,菩萨蛮,规变吟,宗规似铁森如戟,deepseek-3.2-thinking,菩萨蛮,宗门感怀,宗门旧律森如铁,0.8630,0.4286,0.4344
deepseek-3.2-thinking,菩萨蛮,宗规思变,铁矩成坚壁,qwen3.6-plus,浪淘沙,道枢叹,铁壁弥坚,0.8788,0.4444,0.4344
doubao-seed-2.0-pro,清平乐,夜坐凌霄阁有感,风清露冷,deepseek-3.2-thinking,祝英台近,宗门感怀,月冷风清,0.9335,0.5000,0.4335
deepseek-3.2-thinking,沁园春,变革之思,战力犹坚,deepseek-3.2-thinking,菩萨蛮,宗规思变,战力方能护,0.8767,0.4444,0.4323
deepseek-3.2-thinking,沁园春,宗门感事,云锁仙山,deepseek-3.2-thinking,沁园春,改革之思,仙山雾锁,0.9314,0.5000,0.4314
qwen3.6-plus,沁园春,观宗规有感,却怕临危折锐兵,qwen3.6-plus,沁园春,门规叹,却恐临危御敌艰,0.8595,0.4286,0.4309
deepseek-3.2-thinking,沁园春,宗派感怀,灵岳嵯峨,deepseek-3.2-thinking,沁园春,仙门思变,仙岳巍峨,0.9307,0.5000,0.4307
deepseek-3.2-thinking,沁园春,宗门感怀,雾锁仙峰,deepseek-3.2-thinking,沁园春,改革之思,仙山雾锁,0.9293,0.5000,0.4293
qwen3.6-plus,祝英台近,剑阁秋思,星汉转,qwen3.6-plus,清平乐,剑阁春深,星斗暗移河汉,0.8718,0.4444,0.4273
deepseek-3.2-thinking,沁园春,改革之思,仙山雾锁,deepseek-3.2-thinking,祝英台近,宗门感怀,烟锁仙山路,0.8713,0.4444,0.4269
deepseek-3.2-thinking,浪淘沙,宗规感怀,何处知音,glm-5,菩萨蛮,宗门改革自嘲,知音何处寻,0.8707,0.4444,0.4263
deepseek-3.2-thinking,沁园春,宗门感怀,雾锁仙峰,deepseek-3.2-thinking,沁园春,规革沉吟,灵峰雾锁,0.9263,0.5000,0.4263
doubao-seed-2.0-pro,清平乐,云台有感,束却雏鹰翎羽小,doubao-seed-2.0-pro,清平乐,宗门夜坐有感,束得雏鹰双翼住,0.8535,0.4286,0.4249
doubao-seed-2.0-pro,沁园春,凌霄宗议事书怀,锋磨霜剑,qwen3.6-plus,菩萨蛮,宗门夜叹,剑锋磨砺难,0.8692,0.4444,0.4248
deepseek-3.2-thinking,祝英台近,规锁吟,奈独坐、夜阑无寐,deepseek-3.2-thinking,清平乐,宗门感怀,夜半独思无寐,0.8521,0.4286,0.4235
deepseek-3.2-thinking,菩萨蛮,宗门规锁感怀,规严宗派安,deepseek-3.2-thinking,浪淘沙,宗门夜思,宗法规严,0.8679,0.4444,0.4234
doubao-seed-2.0-pro,浪淘沙,夜望宗门有感,临危端赖矩规严,qwen3.6-plus,菩萨蛮,夜观剑阁有感,临危始信严规守,0.8511,0.4286,0.4225
doubao-seed-2.0-pro,浪淘沙,宗门夜望感怀,独倚阑干,qwen3.6-plus,浪淘沙,宗门夜叹,独倚危栏,0.9225,0.5000,0.4225
qwen3.6-plus,浪淘沙,清规叹,独倚危栏,qwen3.6-plus,沁园春,宗门夜思,独倚阑干,0.9225,0.5000,0.4225
qwen3.6-plus,沁园春,宗门夜思,独倚阑干,glm-5,沁园春,宗门旧制,独倚危栏,0.9225,0.5000,0.4225
qwen3.6-plus,浪淘沙,宗门夜叹,独倚危栏,glm-5,浪淘沙,规矩之叹,独倚阑干,0.9225,0.5000,0.4225
glm-5,浪淘沙,规矩之叹,独倚阑干,glm-5,浪淘沙,宗门感怀,独倚危栏,0.9225,0.5000,0.4225
doubao-seed-2.0-pro,浪淘沙,宗门夜望感怀,独倚阑干,qwen3.6-plus,浪淘沙,清规叹,独倚危栏,0.9225,0.5000,0.4225
doubao-seed-2.0-pro,浪淘沙,宗门夜望感怀,独倚阑干,glm-5,浪淘沙,宗门感怀,独倚危栏,0.9225,0.5000,0.4225
qwen3.6-plus,沁园春,宗门夜思,独倚阑干,glm-5,浪淘沙,宗门感怀,独倚危栏,0.9225,0.5000,0.4225
qwen3.6-plus,浪淘沙,宗门夜叹,独倚危栏,qwen3.6-plus,沁园春,宗门夜思,独倚阑干,0.9225,0.5000,0.4225
qwen3.6-plus,浪淘沙,清规叹,独倚危栏,glm-5,浪淘沙,规矩之叹,独倚阑干,0.9225,0.5000,0.4225
doubao-seed-2.0-pro,浪淘沙,宗门夜望感怀,独倚阑干,glm-5,沁园春,宗门旧制,独倚危栏,0.9225,0.5000,0.4225
doubao-seed-2.0-pro,浪淘沙,宗门夜望感怀,独倚阑干,glm-5,浪淘沙,宗门旧规感怀,独倚危栏,0.9225,0.5000,0.4225
glm-5,沁园春,宗门旧制,独倚危栏,glm-5,浪淘沙,规矩之叹,独倚阑干,0.9225,0.5000,0.4225
glm-5,浪淘沙,宗门旧规感怀,独倚危栏,glm-5,浪淘沙,规矩之叹,独倚阑干,0.9225,0.5000,0.4225
qwen3.6-plus,沁园春,宗门夜思,独倚阑干,glm-5,浪淘沙,宗门旧规感怀,独倚危栏,0.9225,0.5000,0.4225
deepseek-3.2-thinking,菩萨蛮,规变吟,何处觅新途,deepseek-3.2-thinking,祝英台近,宗门夜思,新途何处,0.8668,0.4444,0.4224
deepseek-3.2-thinking,菩萨蛮,宗门感怀,何处觅新途,deepseek-3.2-thinking,祝英台近,宗门夜思,新途何处,0.8668,0.4444,0.4224
doubao-seed-2.0-pro,菩萨蛮,宗门夜坐有怀,霜痕黯剑锋,glm-5,祝英台近,宗门旧制,霜锋剑影,0.8667,0.4444,0.4223
deepseek-3.2-thinking,清平乐,宗门变革思,宗门规矩,deepseek-3.2-thinking,祝英台近,宗规思,规矩镇宗苑,0.8649,0.4444,0.4204
deepseek-3.2-thinking,沁园春,宗门感怀,叹千年旧制,deepseek-3.2-thinking,沁园春,规改感怀,旧制千年,0.8648,0.4444,0.4203
doubao-seed-2.0-pro,沁园春,登云阁望剑坪有感,木讷神情,glm-5,沁园春,宗门旧制,见神情木讷,0.8647,0.4444,0.4202
deepseek-3.2-thinking,祝英台近,宗门感怀,心内挣扎,deepseek-3.2-thinking,菩萨蛮,宗门夜思,挣扎在心中,0.8641,0.4444,0.4196
deepseek-3.2-thinking,菩萨蛮,长老感怀,挣扎在心中,deepseek-3.2-thinking,祝英台近,宗门感怀,心内挣扎,0.8641,0.4444,0.4196
doubao-seed-2.0-pro,菩萨蛮,宗门夜坐感怀,徘徊意两难,deepseek-3.2-thinking,沁园春,规变感怀,两意徘徊,0.8632,0.4444,0.4188
doubao-seed-2.0-pro,菩萨蛮,云崖夜坐有感,徘徊意两难,deepseek-3.2-thinking,沁园春,规变感怀,两意徘徊,0.8632,0.4444,0.4188
qwen3.6-plus,沁园春,云阙规衡,剑指青霄,qwen3.6-plus,菩萨蛮,夜观剑阁有感,剑指九天穹,0.8632,0.4444,0.4188
deepseek-3.2-thinking,祝英台近,宗门感怀,烟锁仙山路,deepseek-3.2-thinking,沁园春,宗规感怀,仙山云锁,0.8612,0.4444,0.4167
deepseek-3.2-thinking,祝英台近,宗门规革思,改革途阻,deepseek-3.2-thinking,祝英台近,宗规思变,改革路艰险,0.8607,0.4444,0.4162
deepseek-3.2-thinking,浪淘沙,宗门感怀,宗规稳固保战功,deepseek-3.2-thinking,祝英台近,宗门沉吟,宗规系战力固,0.8776,0.4615,0.4160
doubao-seed-2.0-pro,沁园春,宗门夜坐抒怀,甚英才锐气,deepseek-3.2-thinking,沁园春,宗规感怀,英风豪气,0.8596,0.4444,0.4151
doubao-seed-2.0-pro,沁园春,凌霄宗感事,雾锁古坛,doubao-seed-2.0-pro,祝英台近,观宗门弟子修习感怀,云锁旧坛殿,0.8591,0.4444,0.4146
deepseek-3.2-thinking,菩萨蛮,宗门规锁感怀,规严宗派安,deepseek-3.2-thinking,浪淘沙,宗门感怀,规守宗传,0.8582,0.4444,0.4138
doubao-seed-2.0-pro,浪淘沙,宗门夜坐感怀,同护仙山,doubao-seed-2.0-pro,沁园春,望宗门演武有怀,共护仙乡,0.9135,0.5000,0.4135
deepseek-3.2-thinking,沁园春,宗规感怀,仙山云锁,deepseek-3.2-thinking,沁园春,宗规感怀,云锁仙峰,0.9133,0.5000,0.4133
deepseek-3.2-thinking,沁园春,仙规思变,云锁仙峰,deepseek-3.2-thinking,沁园春,宗规感怀,仙山云锁,0.9133,0.5000,0.4133
deepseek-3.2-thinking,清平乐,规变沉吟,规矩保宗风,deepseek-3.2-thinking,清平乐,宗门感事,宗规旧矩,0.8569,0.4444,0.4125
doubao-seed-2.0-pro,沁园春,登凌霄阁有感,独倚阁阑,glm-5,浪淘沙,宗门旧规感怀,独倚危栏,0.9124,0.5000,0.4124
doubao-seed-2.0-pro,沁园春,登凌霄阁有感,独倚阁阑,glm-5,沁园春,宗门旧制,独倚危栏,0.9124,0.5000,0.4124
doubao-seed-2.0-pro,沁园春,登凌霄阁有感,独倚阁阑,glm-5,浪淘沙,宗门感怀,独倚危栏,0.9124,0.5000,0.4124
doubao-seed-2.0-pro,沁园春,登凌霄阁有感,独倚阁阑,qwen3.6-plus,浪淘沙,清规叹,独倚危栏,0.9124,0.5000,0.4124
doubao-seed-2.0-pro,沁园春,登凌霄阁有感,独倚阁阑,qwen3.6-plus,浪淘沙,宗门夜叹,独倚危栏,0.9124,0.5000,0.4124
doubao-seed-2.0-pro,祝英台近,云阁夜坐有感,灵光困锁,qwen3.6-plus,清平乐,观剑阁弟子训有感,暗锁灵根困,0.8568,0.4444,0.4124
glm-5,沁园春,宗门感怀,独上危楼,glm-5,浪淘沙,宗门夜感,独倚最高楼,0.8566,0.4444,0.4122
doubao-seed-2.0-pro,浪淘沙,宗门夜坐感怀,霜冷剑坛寒,qwen3.6-plus,沁园春,门规叹,剑阁霜寒,0.8563,0.4444,0.4119
doubao-seed-2.0-pro,浪淘沙,宗门夜坐感怀,霜冷剑坛寒,qwen3.6-plus,沁园春,云笈问剑,剑阁霜寒,0.8563,0.4444,0.4119
qwen3.6-plus,清平乐,剑阁春深,星斗暗移河汉,qwen3.6-plus,浪淘沙,剑阁观规有感,星斗转,0.8556,0.4444,0.4111
qwen3.6-plus,菩萨蛮,剑阁春思,星斗转,qwen3.6-plus,清平乐,剑阁春深,星斗暗移河汉,0.8556,0.4444,0.4111
doubao-seed-2.0-pro,祝英台近,宗门夜坐感怀,星斗转,qwen3.6-plus,清平乐,剑阁春深,星斗暗移河汉,0.8556,0.4444,0.4111
qwen3.6-plus,菩萨蛮,云崖问剑,孤影对寒灯,qwen3.6-plus,沁园春,道枢沉吟,独对寒檠,0.8547,0.4444,0.4102
doubao-seed-2.0-pro,菩萨蛮,宵立宗门有感,思把陈规改,glm-5,沁园春,宗门感怀,欲改陈规,0.8540,0.4444,0.4096
doubao-seed-2.0-pro,沁园春,宗门感事,奈云封雾锁,deepseek-3.2-thinking,清平乐,改革之惑,云山锁雾,0.8532,0.4444,0.4088
deepseek-3.2-thinking,清平乐,宗门变革思,宗门规矩,deepseek-3.2-thinking,祝英台近,规变吟,规矩保宗固,0.8532,0.4444,0.4088
deepseek-3.2-thinking,祝英台近,规训吟,修仙悟道,deepseek-3.2-thinking,沁园春,宗规感怀,问修仙真谛,0.8528,0.4444,0.4084
doubao-seed-2.0-pro,浪淘沙,宗门夜坐感怀,霜冷剑坛寒,qwen3.6-plus,祝英台近,剑阁夜思,霜寒剑冢,0.8528,0.4444,0.4084
deepseek-3.2-thinking,沁园春,宗门沉吟,旧规须破,qwen3.6-plus,菩萨蛮,云崖规诫,欲破旧规痕,0.8521,0.4444,0.4077
doubao-seed-2.0-pro,清平乐,宗门夜坐抒怀,独对残灯影,qwen3.6-plus,沁园春,道枢沉吟,独对寒檠,0.8516,0.4444,0.4072
deepseek-3.2-thinking,祝英台近,宗规怨,云锁仙山暮,qwen3.6-plus,清平乐,宗门新思,仙山云暗,0.8514,0.4444,0.4070
doubao-seed-2.0-pro,沁园春,宗阁抒怀,独倚旧栏,doubao-seed-2.0-pro,祝英台近,仙阁抒怀,独倚危阑,0.9066,0.5000,0.4066
doubao-seed-2.0-pro,沁园春,宗阁抒怀,独倚旧栏,qwen3.6-plus,浪淘沙,宗门夜思,独倚危阑,0.9066,0.5000,0.4066
deepseek-3.2-thinking,菩萨蛮,宗门思变,危机保战魂,deepseek-3.2-thinking,沁园春,宗门变革吟,然战危机,0.8511,0.4444,0.4066
deepseek-3.2-thinking,祝英台近,宗门变革思,战力赖规矩,deepseek-3.2-thinking,沁园春,宗门思变,规矩保战,0.8509,0.4444,0.4065
qwen3.6-plus,祝英台近,云笈问剑,凝霜刃,qwen3.6-plus,祝英台近,剑阁秋思,霜刃凝秋玉,0.9065,0.5000,0.4065
deepseek-3.2-thinking,浪淘沙,宗规感怀,规矩卫宗风,deepseek-3.2-thinking,浪淘沙,宗门感怀,规守宗传,0.8502,0.4444,0.4058
qwen3.6-plus,祝英台近,宗门戒律有感,锁灵根,qwen3.6-plus,清平乐,云崖观阵有感,灵根暗锁天光,0.8500,0.4444,0.4056
qwen3.6-plus,祝英台近,云阶夜思,锁灵根,qwen3.6-plus,清平乐,云崖观阵有感,灵根暗锁天光,0.8500,0.4444,0.4056
qwen3.6-plus,浪淘沙,观规有感,霜刃凝寒,qwen3.6-plus,浪淘沙,山门夜思,霜锷生寒,0.9035,0.5000,0.4035
doubao-seed-2.0-pro,祝英台近,夜坐凌霄阁感怀,一片初心,deepseek-3.2-thinking,沁园春,宗派抒怀,丹心一片,0.9020,0.5000,0.4020
doubao-seed-2.0-pro,浪淘沙,宗门夜望感怀,独倚阑干,doubao-seed-2.0-pro,沁园春,宗阁抒怀,独倚旧栏,0.9017,0.5000,0.4017
doubao-seed-2.0-pro,沁园春,宗阁抒怀,独倚旧栏,qwen3.6-plus,沁园春,宗门夜思,独倚阑干,0.9017,0.5000,0.4017
doubao-seed-2.0-pro,沁园春,宗阁抒怀,独倚旧栏,glm-5,浪淘沙,规矩之叹,独倚阑干,0.9017,0.5000,0.4017
deepseek-3.2-thinking,祝英台近,宗规思变,战力保全,deepseek-3.2-thinking,沁园春,宗规感怀,保战力同,0.8983,0.5000,0.3983
deepseek-3.2-thinking,沁园春,规变感怀,中心挣扎,deepseek-3.2-thinking,沁园春,宗门夜思,挣扎心中,0.8978,0.5000,0.3978
deepseek-3.2-thinking,沁园春,规变感怀,中心挣扎,deepseek-3.2-thinking,沁园春,宗规感怀,挣扎心中,0.8978,0.5000,0.3978
doubao-seed-2.0-pro,沁园春,凌霄宗感事,严同铁律,deepseek-3.2-thinking,沁园春,宗规感怀,铁律严容,0.8949,0.5000,0.3949
doubao-seed-2.0-pro,沁园春,登凌霄阁有感,独倚阁阑,doubao-seed-2.0-pro,沁园春,宗阁抒怀,独倚旧栏,0.8931,0.5000,0.3931
doubao-seed-2.0-pro,沁园春,登凌霄阁有感,独倚阁阑,glm-5,祝英台近,宗门感怀,独倚危楼,0.8931,0.5000,0.3931
deepseek-3.2-thinking,沁园春,规革沉吟,灵峰雾锁,deepseek-3.2-thinking,沁园春,改革之思,仙山雾锁,0.8930,0.5000,0.3930
doubao-seed-2.0-pro,沁园春,玄门感怀,束性循规,doubao-seed-2.0-pro,沁园春,登观星台述怀,陈规束性,0.8928,0.5000,0.3928
doubao-seed-2.0-pro,沁园春,宗门抒怀,夜淬寒锋,qwen3.6-plus,沁园春,云崖长老自遣,寒锋淬火,0.8927,0.5000,0.3927
doubao-seed-2.0-pro,沁园春,演武台述怀,劫火焚空,qwen3.6-plus,沁园春,宗规叹,劫火燃天,0.8923,0.5000,0.3923
doubao-seed-2.0-pro,浪淘沙,宗门夜坐感怀,群议难安,qwen3.6-plus,沁园春,云崖长老自遣,众议难休,0.8921,0.5000,0.3921
qwen3.6-plus,浪淘沙,玄枢感怀,独抱幽愁,glm-5,祝英台近,宗门变革感怀,孤怀独抱,0.8917,0.5000,0.3917
deepseek-3.2-thinking,沁园春,宗门夜思,挣扎心中,deepseek-3.2-thinking,祝英台近,宗门感怀,心内挣扎,0.8916,0.5000,0.3916
deepseek-3.2-thinking,祝英台近,宗门感怀,心内挣扎,deepseek-3.2-thinking,沁园春,宗规感怀,挣扎心中,0.8916,0.5000,0.3916
qwen3.6-plus,浪淘沙,云崖戒律吟,孤灯照夜长,qwen3.6-plus,菩萨蛮,剑阁秋思,长夜孤灯照胆寒,0.8912,0.5000,0.3912
doubao-seed-2.0-pro,沁园春,宗门感怀,寒锋砺刃,qwen3.6-plus,沁园春,云崖长老自遣,寒锋淬火,0.8897,0.5000,0.3897
doubao-seed-2.0-pro,沁园春,玄峰夜坐抒怀,叠嶂笼云,doubao-seed-2.0-pro,沁园春,宗门抒怀,黛嶂围云,0.8896,0.5000,0.3896
doubao-seed-2.0-pro,祝英台近,宗门夜望有感,铁律承传,deepseek-3.2-thinking,沁园春,宗门感事,宗传铁律,0.8891,0.5000,0.3891
deepseek-3.2-thinking,菩萨蛮,宗门规锁感怀,规严宗派安,deepseek-3.2-thinking,祝英台近,宗规感怀,宗规严,0.8879,0.5000,0.3879
deepseek-3.2-thinking,菩萨蛮,宗门规锁感怀,规严宗派安,deepseek-3.2-thinking,祝英台近,宗门感怀,宗规严,0.8879,0.5000,0.3879
deepseek-3.2-thinking,沁园春,宗门感怀,雾锁仙峰,deepseek-3.2-thinking,沁园春,宗门感事,云锁仙山,0.8877,0.5000,0.3877
doubao-seed-2.0-pro,沁园春,宗门述怀,霜锋淬影,doubao-seed-2.0-pro,沁园春,宗门夜坐感怀,霜锋敛锷,0.8877,0.5000,0.3877
qwen3.6-plus,沁园春,宗门述怀,灵根暗锁,qwen3.6-plus,沁园春,剑阁问心,锁尽灵根,0.8876,0.5000,0.3876
qwen3.6-plus,沁园春,剑阁问心,锁尽灵根,qwen3.6-plus,沁园春,宗规叹,灵根暗锁,0.8876,0.5000,0.3876
qwen3.6-plus,清平乐,宗门夜思,森严铁矩,qwen3.6-plus,沁园春,云崖长老自遣,铁律森严,0.8872,0.5000,0.3872
qwen3.6-plus,清平乐,宗门夜思,森严铁矩,qwen3.6-plus,沁园春,云崖夜思,铁律森严,0.8872,0.5000,0.3872
deepseek-3.2-thinking,沁园春,宗门感怀,铁律森严,qwen3.6-plus,清平乐,宗门夜思,森严铁矩,0.8872,0.5000,0.3872
qwen3.6-plus,清平乐,宗门夜思,森严铁矩,glm-5,祝英台近,宗门旧制感怀,铁律森严,0.8872,0.5000,0.3872
qwen3.6-plus,清平乐,宗门夜思,森严铁矩,glm-5,祝英台近,宗规叹,铁律森严,0.8872,0.5000,0.3872
qwen3.6-plus,清平乐,宗门夜思,森严铁矩,qwen3.6-plus,沁园春,阁夜沉吟,铁律森严,0.8872,0.5000,0.3872
qwen3.6-plus,清平乐,宗门夜思,森严铁矩,qwen3.6-plus,沁园春,观宗门旧制有感,铁律森严,0.8872,0.5000,0.3872
deepseek-3.2-thinking,沁园春,宗规感怀,战力犹隆,deepseek-3.2-thinking,沁园春,宗规感怀,战力方存,0.8860,0.5000,0.3860
doubao-seed-2.0-pro,浪淘沙,云阁夜思,众论难安,doubao-seed-2.0-pro,浪淘沙,宗门夜坐感怀,群议难安,0.8859,0.5000,0.3859
doubao-seed-2.0-pro,浪淘沙,夜望宗门有感,众论难安,doubao-seed-2.0-pro,浪淘沙,宗门夜坐感怀,群议难安,0.8859,0.5000,0.3859
