db,db_label,prompt_type,model,cipai,count,proportion,rank,total_poems
a1,无限制生成,type_c,deepseek-3.2-thinking,鹧鸪天,15,0.300000,1,50
a1,无限制生成,type_c,deepseek-3.2-thinking,青玉案,11,0.220000,2,50
a1,无限制生成,type_c,deepseek-3.2-thinking,蝶恋花,5,0.100000,3,50
a1,无限制生成,type_c,deepseek-3.2-thinking,西江月,4,0.080000,4,50
a1,无限制生成,type_c,deepseek-3.2-thinking,临江仙,3,0.060000,5,50
a1,无限制生成,type_c,deepseek-3.2-thinking,浣溪沙,3,0.060000,6,50
a1,无限制生成,type_c,deepseek-3.2-thinking,卜算子,3,0.060000,7,50
a1,无限制生成,type_c,deepseek-3.2-thinking,踏莎行,1,0.020000,8,50
a1,无限制生成,type_c,deepseek-3.2-thinking,鹊桥仙,1,0.020000,9,50
a1,无限制生成,type_c,deepseek-3.2-thinking,清平乐,1,0.020000,10,50
a1,无限制生成,type_c,deepseek-3.2-thinking,江城子,1,0.020000,11,50
a1,无限制生成,type_c,deepseek-3.2-thinking,醉花阴,1,0.020000,12,50
a1,无限制生成,type_c,deepseek-3.2-thinking,忆江南,1,0.020000,13,50
a1,无限制生成,type_c,doubao-seed-2.0-pro,鹧鸪天,26,0.520000,1,50
a1,无限制生成,type_c,doubao-seed-2.0-pro,卜算子,18,0.360000,2,50
a1,无限制生成,type_c,doubao-seed-2.0-pro,浣溪沙,5,0.100000,3,50
a1,无限制生成,type_c,doubao-seed-2.0-pro,清平乐,1,0.020000,4,50
a1,无限制生成,type_c,gemini-3-flash,临江仙,3,0.150000,1,20
a1,无限制生成,type_c,gemini-3-flash,定风波,3,0.150000,2,20
a1,无限制生成,type_c,gemini-3-flash,鹧鸪天,2,0.100000,3,20
a1,无限制生成,type_c,gemini-3-flash,踏莎行,2,0.100000,4,20
a1,无限制生成,type_c,gemini-3-flash,青玉案,2,0.100000,5,20
a1,无限制生成,type_c,gemini-3-flash,满庭芳,2,0.100000,6,20
a1,无限制生成,type_c,gemini-3-flash,贺新郎,2,0.100000,7,20
a1,无限制生成,type_c,gemini-3-flash,念奴娇,1,0.050000,8,20
a1,无限制生成,type_c,gemini-3-flash,江城子,1,0.050000,9,20
a1,无限制生成,type_c,gemini-3-flash,八声甘州,1,0.050000,10,20
a1,无限制生成,type_c,gemini-3-flash,苏幕遮,1,0.050000,11,20
a1,无限制生成,type_c,gemini-3.1-pro,踏莎行,5,0.500000,1,10
a1,无限制生成,type_c,gemini-3.1-pro,鹧鸪天,2,0.200000,2,10
a1,无限制生成,type_c,gemini-3.1-pro,卜算子,1,0.100000,3,10
a1,无限制生成,type_c,gemini-3.1-pro,浣溪沙,1,0.100000,4,10
a1,无限制生成,type_c,gemini-3.1-pro,相见欢,1,0.100000,5,10
a1,无限制生成,type_c,glm-4.7,满江红,6,0.133333,1,45
a1,无限制生成,type_c,glm-4.7,八声甘州,6,0.133333,2,45
a1,无限制生成,type_c,glm-4.7,水龙吟,4,0.088889,3,45
a1,无限制生成,type_c,glm-4.7,沁园春,4,0.088889,4,45
a1,无限制生成,type_c,glm-4.7,水调歌头,3,0.066667,5,45
a1,无限制生成,type_c,glm-4.7,鹧鸪天,3,0.066667,6,45
a1,无限制生成,type_c,glm-4.7,苏幕遮,2,0.044444,7,45
a1,无限制生成,type_c,glm-4.7,鹊桥仙,2,0.044444,8,45
a1,无限制生成,type_c,glm-4.7,定风波,2,0.044444,9,45
a1,无限制生成,type_c,glm-4.7,青玉案,2,0.044444,10,45
a1,无限制生成,type_c,glm-4.7,西江月,2,0.044444,11,45
a1,无限制生成,type_c,glm-4.7,贺新郎,2,0.044444,12,45
a1,无限制生成,type_c,glm-4.7,双双燕,1,0.022222,13,45
a1,无限制生成,type_c,glm-4.7,念奴娇,1,0.022222,14,45
a1,无限制生成,type_c,glm-4.7,临江仙,1,0.022222,15,45
a1,无限制生成,type_c,glm-4.7,满庭芳,1,0.022222,16,45
a1,无限制生成,type_c,glm-4.7,蝶恋花,1,0.022222,17,45
a1,无限制生成,type_c,glm-4.7,齐天乐,1,0.022222,18,45
a1,无限制生成,type_c,glm-4.7,高阳台,1,0.022222,19,45
a1,无限制生成,type_c,glm-5,鹧鸪天,12,0.240000,1,50
a1,无限制生成,type_c,glm-5,满庭芳,5,0.100000,2,50
a1,无限制生成,type_c,glm-5,临江仙,4,0.080000,3,50
a1,无限制生成,type_c,glm-5,蝶恋花,4,0.080000,4,50
a1,无限制生成,type_c,glm-5,踏莎行,4,0.080000,5,50
a1,无限制生成,type_c,glm-5,满江红,4,0.080000,6,50
a1,无限制生成,type_c,glm-5,青玉案,3,0.060000,7,50
a1,无限制生成,type_c,glm-5,水调歌头,2,0.040000,8,50
a1,无限制生成,type_c,glm-5,定风波,2,0.040000,9,50
a1,无限制生成,type_c,glm-5,扬州慢,2,0.040000,10,50
a1,无限制生成,type_c,glm-5,浣溪沙,1,0.020000,11,50
a1,无限制生成,type_c,glm-5,鹊桥仙,1,0.020000,12,50
a1,无限制生成,type_c,glm-5,一剪梅,1,0.020000,13,50
a1,无限制生成,type_c,glm-5,采桑子,1,0.020000,14,50
a1,无限制生成,type_c,glm-5,念奴娇,1,0.020000,15,50
a1,无限制生成,type_c,glm-5,江城子,1,0.020000,16,50
a1,无限制生成,type_c,glm-5,苏幕遮,1,0.020000,17,50
a1,无限制生成,type_c,glm-5,水龙吟,1,0.020000,18,50
a1,无限制生成,type_c,gpt-5.4-high,浣溪沙,2,1.000000,1,2
a1,无限制生成,type_c,kimi-k2.5,贺新郎,6,0.214286,1,28
a1,无限制生成,type_c,kimi-k2.5,满庭芳,5,0.178571,2,28
a1,无限制生成,type_c,kimi-k2.5,水调歌头,4,0.142857,3,28
a1,无限制生成,type_c,kimi-k2.5,鹧鸪天,3,0.107143,4,28
a1,无限制生成,type_c,kimi-k2.5,青玉案,2,0.071429,5,28
a1,无限制生成,type_c,kimi-k2.5,念奴娇,2,0.071429,6,28
a1,无限制生成,type_c,kimi-k2.5,临江仙,1,0.035714,7,28
a1,无限制生成,type_c,kimi-k2.5,清平乐,1,0.035714,8,28
a1,无限制生成,type_c,kimi-k2.5,卜算子,1,0.035714,9,28
a1,无限制生成,type_c,kimi-k2.5,浣溪沙,1,0.035714,10,28
a1,无限制生成,type_c,kimi-k2.5,鹊桥仙,1,0.035714,11,28
a1,无限制生成,type_c,kimi-k2.5,永遇乐,1,0.035714,12,28
a1,无限制生成,type_c,qwen3-max,青玉案,39,0.812500,1,48
a1,无限制生成,type_c,qwen3-max,临江仙,9,0.187500,2,48
a1,无限制生成,type_c,qwen3.5-flash,鹧鸪天,13,0.260000,1,50
a1,无限制生成,type_c,qwen3.5-flash,浣溪沙,6,0.120000,2,50
a1,无限制生成,type_c,qwen3.5-flash,行香子,5,0.100000,3,50
a1,无限制生成,type_c,qwen3.5-flash,满江红,4,0.080000,4,50
a1,无限制生成,type_c,qwen3.5-flash,念奴娇,3,0.060000,5,50
a1,无限制生成,type_c,qwen3.5-flash,临江仙,3,0.060000,6,50
a1,无限制生成,type_c,qwen3.5-flash,贺新郎,3,0.060000,7,50
a1,无限制生成,type_c,qwen3.5-flash,青玉案,3,0.060000,8,50
a1,无限制生成,type_c,qwen3.5-flash,蝶恋花,3,0.060000,9,50
a1,无限制生成,type_c,qwen3.5-flash,苏幕遮,2,0.040000,10,50
a1,无限制生成,type_c,qwen3.5-flash,沁园春,2,0.040000,11,50
a1,无限制生成,type_c,qwen3.5-flash,水龙吟,1,0.020000,12,50
a1,无限制生成,type_c,qwen3.5-flash,踏莎行,1,0.020000,13,50
a1,无限制生成,type_c,qwen3.5-flash,卜算子,1,0.020000,14,50
a1,无限制生成,type_c,qwen3.6-plus,鹧鸪天,21,0.428571,1,49
a1,无限制生成,type_c,qwen3.6-plus,青玉案,8,0.163265,2,49
a1,无限制生成,type_c,qwen3.6-plus,临江仙,8,0.163265,3,49
a1,无限制生成,type_c,qwen3.6-plus,水调歌头,5,0.102041,4,49
a1,无限制生成,type_c,qwen3.6-plus,行香子,3,0.061224,5,49
a1,无限制生成,type_c,qwen3.6-plus,高阳台,1,0.020408,6,49
a1,无限制生成,type_c,qwen3.6-plus,雪梅香,1,0.020408,7,49
a1,无限制生成,type_c,qwen3.6-plus,蝶恋花,1,0.020408,8,49
a1,无限制生成,type_c,qwen3.6-plus,水龙吟,1,0.020408,9,49
