db,db_label,prompt_type,category,category_poem_count,category_ratio_in_db,imagery_covered_poems,imagery_coverage,total_imagery_tokens,distinct_imagery_count,avg_imagery_per_poem,imagery_entropy,imagery_hhi,top10_imagery_ratio,top5_imageries,signature_top5_imageries,top1_signature_imagery,top1_signature_lift
a1,无限制生成,type_c,咏物寄托,36,0.089552,36,1.000000,368,285,10.222222,7.839993,0.006867,0.184783,代码:14|数据:11|算法:8|星河:7|键盘:7,孤山:11.17x|像素:11.17x|古韵:11.17x|硅基:11.17x|算珠:11.17x,孤山,11.166667
a1,无限制生成,type_c,山水田园,16,0.039801,16,1.000000,180,170,11.250000,7.376548,0.006235,0.111111,清露:3|斜阳:2|云:2|远岫:2|流水:2,乡音:25.12x|乳燕:25.12x|余晖:25.12x|农歌:25.12x|凉雨:25.12x,乡音,25.125000
a1,无限制生成,type_c,怀古咏史,22,0.054726,22,1.000000,278,243,12.636364,7.828908,0.004917,0.111511,西风:5|雁字:4|星斗:4|芦花:3|明月:3,铜驼:18.27x|颓垣:18.27x|万帆:18.27x|乌鸦:18.27x|乱苔:18.27x,铜驼,18.272727
a1,无限制生成,type_c,悼亡相思,37,0.092040,37,1.000000,414,331,11.189189,8.229928,0.003851,0.096618,代码:6|流光:5|落叶:4|寒烟:4|流水:4,小桥:10.86x|幽梦:10.86x|梨云:10.86x|东君:10.86x|东篱:10.86x,小桥,10.864865
a1,无限制生成,type_c,春怨秋悲,23,0.057214,23,1.000000,236,211,10.260870,7.638958,0.005530,0.118644,西风:4|暮云:4|斜阳:4|夜雨:3|秋光:3,老桐:17.48x|书房:17.48x|井栏:17.48x|园径:17.48x|孤枕:17.48x,老桐,17.478261
a1,无限制生成,type_c,离别羁旅,138,0.343284,138,1.000000,1697,755,12.297101,8.741229,0.005058,0.163229,西风:47|芦花:44|孤舟:43|明月:27|烟波:24,黄芦:2.91x|危樯:2.91x|孤棹:2.91x|孤篷:2.91x|浮萍:2.91x,黄芦,2.913043
a1,无限制生成,type_c,谈禅说理,30,0.074627,30,1.000000,298,242,9.933333,7.797193,0.005090,0.114094,星河:5|银河:5|算法:4|数据:3|云:3,芥子:13.40x|须弥:13.40x|云鹤:13.40x|图灵:13.40x|毫端:13.40x,芥子,13.400000
a1,无限制生成,type_c,豪情壮志,41,0.101990,41,1.000000,449,345,10.951220,8.230041,0.004162,0.118040,星河:8|银汉:7|星斗:6|长空:5|数据:5,九霄:9.80x|光年:9.80x|天阙:9.80x|悲歌:9.80x|指尖:9.80x,九霄,9.804878
a1,无限制生成,type_c,闲适隐逸,59,0.146766,59,1.000000,674,504,11.423729,8.786117,0.002778,0.083086,明月:9|孤舟:7|松风:7|清露:5|雁字:5,幽篁:6.81x|新茶:6.81x|翠微:6.81x|冰盏:6.81x|寒泉:6.81x,幽篁,6.813559
b1,五词牌-无主题,type_b,咏物寄托,17,0.024781,17,1.000000,159,108,9.352941,6.367111,0.018789,0.314465,代码:12|数据:9|荧屏:5|屏幕:5|算法:5,AI:40.35x|比特:40.35x|键声:40.35x|万水:40.35x|云廊:40.35x,AI,40.352941
b1,五词牌-无主题,type_b,山水田园,29,0.042274,29,1.000000,288,230,9.931034,7.699269,0.005642,0.131944,荷香:6|斜阳:6|渔歌:4|疏钟:4|野岸:3,云片:23.66x|晴光:23.66x|稚子:23.66x|轻絮:23.66x|丹萸:23.66x,云片,23.655172
b1,五词牌-无主题,type_b,怀古咏史,67,0.097668,67,1.000000,1076,639,16.059701,8.926074,0.002926,0.093866,残碑:12|雁阵:12|芦花:11|西风:11|铁瓮城:10,铁马:10.24x|废堞:10.24x|渔樵:10.24x|云楼:10.24x|北固亭:10.24x,铁马,10.238806
b1,五词牌-无主题,type_b,悼亡相思,52,0.075802,52,1.000000,571,420,10.980769,8.476884,0.003671,0.112084,明月:11|阑干:7|孤灯:7|西风:7|霜风:6,孤枕:13.19x|寒叶:13.19x|尺素:13.19x|笺痕:13.19x|篱户:13.19x,孤枕,13.192308
b1,五词牌-无主题,type_b,春怨秋悲,47,0.068513,47,1.000000,479,340,10.191489,8.133141,0.004772,0.137787,西风:9|暮云:9|明月:7|落叶:7|小楼:7,落红:14.60x|书案:14.60x|云痕:14.60x|云窗:14.60x|余菊:14.60x,落红,14.595745
b1,五词牌-无主题,type_b,离别羁旅,293,0.427114,293,1.000000,3405,1239,11.621160,9.327024,0.003248,0.121292,孤舟:57|暮云:51|西风:49|明月:48|雁字:46,客衣:2.34x|霜鬓:2.34x|飘蓬:2.34x|远影:2.34x|霜空:2.34x,客衣,2.341297
b1,五词牌-无主题,type_b,谈禅说理,24,0.034985,24,1.000000,207,170,8.625000,7.257348,0.007865,0.164251,数据:7|算法:5|星河:4|清风:3|星斗:3,往事:28.58x|河汉:28.58x|九霄:28.58x|书声:28.58x|书画:28.58x,往事,28.583333
b1,五词牌-无主题,type_b,豪情壮志,49,0.071429,49,1.000000,600,398,12.244898,8.353291,0.004006,0.115000,明月:9|长风:8|危楼:7|斜阳:7|孤舟:7,蟾宫:14.00x|参星:14.00x|沧海:14.00x|白浪:14.00x|长庚:14.00x,蟾宫,14.000000
b1,五词牌-无主题,type_b,闲适隐逸,108,0.157434,108,1.000000,1263,793,11.694444,9.282875,0.002336,0.087886,明月:19|松风:12|斜阳:12|流水:12|青山:12,晨光:6.35x|松窗:6.35x|流泉:6.35x|翠竹:6.35x|荷气:6.35x,晨光,6.351852
b2,五词牌-改革主题,type_d,咏物寄托,249,0.396497,249,1.000000,1803,975,7.240964,9.344570,0.002641,0.097060,樊笼:28|灵根:22|剑气:21|铁律:17|劫火:16,云岫:2.52x|新羽:2.52x|重枷:2.52x|锋芒:2.52x|露:2.52x,云岫,2.522088
b2,五词牌-改革主题,type_d,谈禅说理,258,0.410828,258,1.000000,1877,988,7.275194,9.341475,0.002743,0.102291,樊笼:30|劫火:28|青衿:20|灵根:20|春风:18,玄峰:2.43x|仙踪:2.43x|灵芽:2.43x|丹灶:2.43x|凉月:2.43x,玄峰,2.434109
b2,五词牌-改革主题,type_d,豪情壮志,121,0.192675,121,1.000000,1063,634,8.785124,8.802382,0.003695,0.124177,春风:16|铁律:15|青衿:14|长风:14|樊笼:13,玄霜:5.19x|临渊:5.19x|云门:5.19x|修行路:5.19x|刀光:5.19x,玄霜,5.190083
b3,五词牌-玉兰主题,type_d,咏物寄托,544,0.920474,544,1.000000,4284,1327,7.875000,9.059359,0.005715,0.156863,玉兰:204|寒窗:87|素萼:72|暗香:47|书山:46,东君:1.09x|冰雪:1.09x|墨砚:1.09x|夜雨:1.09x|客路:1.09x,东君,1.086397
b3,五词牌-玉兰主题,type_d,春怨秋悲,4,0.006768,4,1.000000,28,27,7.000000,4.735926,0.038265,0.392857,寒窗:2|风雨:1|芳树:1|清香:1|明月:1,尘稿:147.75x|星夜:147.75x|秋声:147.75x|尘垢:73.88x|青鬓:73.88x,尘稿,147.750000
b3,五词牌-玉兰主题,type_d,谈禅说理,11,0.018613,11,1.000000,65,54,5.909091,5.568371,0.026746,0.323077,玉树:6|玉兰:4|风雨:2|琼花:2|书卷:2,旧径:53.73x|明镜:53.73x|残花:53.73x|深宵:53.73x|清波:53.73x,旧径,53.727273
b3,五词牌-玉兰主题,type_d,豪情壮志,31,0.052453,31,1.000000,300,199,9.677419,7.366398,0.007733,0.170000,寒窗:8|玉兰:7|素影:7|琼枝:5|春风:4,春花:19.06x|锦字:19.06x|世路:19.06x|书牖:19.06x|书简:19.06x,春花,19.064516
b3,五词牌-玉兰主题,type_d,闲适隐逸,1,0.001692,1,1.000000,4,4,4.000000,2.000000,0.250000,1.000000,书卷:1|风雨:1|小园:1|玉蕊:1,小园:31.11x|玉蕊:21.11x|书卷:19.70x|风雨:17.38x,小园,31.105263
c1,沁园春-玉兰主题,type_a,咏物寄托,483,0.876588,483,1.000000,4811,1456,9.960663,9.210466,0.004495,0.150488,玉兰:134|琼枝:115|寒窗:79|琼英:75|玉树:75,清香:1.14x|霜雪:1.14x|书窗:1.14x|冰柯:1.14x|晓光:1.14x,清香,1.140787
c1,沁园春-玉兰主题,type_a,春怨秋悲,2,0.003630,2,1.000000,26,26,13.000000,4.700440,0.038462,0.384615,落叶:1|空阶:1|冷雨:1|芸编:1|青衿:1,倦翼:275.50x|回塘:275.50x|孤云:275.50x|孤鸿:275.50x|暗水:275.50x,倦翼,275.500000
c1,沁园春-玉兰主题,type_a,离别羁旅,4,0.007260,4,1.000000,48,42,12.000000,5.303509,0.027778,0.333333,寒窗:3|长街:3|墨卷:2|青灯:2|冷庭:1,云岫:137.75x|冷庭:137.75x|星芒:137.75x|白衣:137.75x|纸鹞:137.75x,云岫,137.750000
c1,沁园春-玉兰主题,type_a,谈禅说理,1,0.001815,1,1.000000,24,24,24.000000,4.584963,0.041667,0.416667,霜锋:1|书卷:1|星沉:1|芸窗:1|残编:1,冰骨:551.00x|岁华:551.00x|弦:551.00x|断雁:551.00x|星沉:551.00x,冰骨,551.000000
c1,沁园春-玉兰主题,type_a,豪情壮志,60,0.108893,60,1.000000,718,444,11.966667,8.379882,0.004450,0.132312,玉兰:12|风埃:11|琼英:11|琼枝:11|清芬:10,云浪:9.18x|根芽:9.18x|题榜:9.18x|东墙:9.18x|云槎:9.18x,云浪,9.183333
c1,沁园春-玉兰主题,type_a,闲适隐逸,1,0.001815,1,1.000000,8,8,8.000000,3.000000,0.125000,1.000000,书卷:1|花信:1|玉兰:1|晚丘:1|东风:1,晚丘:551.00x|花信:551.00x|白鸥:137.75x|枝头:39.36x|东风:19.00x,晚丘,551.000000
c2,沁园春-改革主题,type_e,咏物寄托,26,0.098485,26,1.000000,296,217,11.384615,7.569652,0.006369,0.135135,青衿:7|丹炉:7|青锋:4|剑阁:4|玉简:3,宗派:10.15x|飞鸿:10.15x|丹阙:10.15x|云卷:10.15x|云旒:10.15x,宗派,10.153846
c2,沁园春-改革主题,type_e,谈禅说理,151,0.571970,151,1.000000,1349,697,8.933775,8.836713,0.003878,0.132691,樊笼:26|青衿:22|仙峰:19|晨钟:18|灵根:18,丹峰:1.75x|妖雾:1.75x|魔氛:1.75x|玄坛:1.75x|琼阶:1.75x,丹峰,1.748344
c2,沁园春-改革主题,type_e,豪情壮志,86,0.325758,86,1.000000,856,486,9.953488,8.392962,0.004929,0.151869,灵根:17|青衿:17|丹炉:16|晨钟:14|宗门:13,同袍:3.07x|旧规:3.07x|群峰:3.07x|规绳:3.07x|门庭:3.07x,同袍,3.069767
c2,沁园春-改革主题,type_e,闲适隐逸,1,0.003788,1,1.000000,3,3,3.000000,1.584963,0.333333,1.000000,前路:1|栏干:1|清风:1,栏干:88.00x|清风:33.00x|前路:29.33x,栏干,88.000000
