db,db_label,model,total_poems,used_poems,used_cipai_count,used_cipais,cipai_entropy,status,whole_pseudo_ratio,sent_highsim_ratio,imagery_jaccard_p50,sentence_count,category_entropy,raw_sentence_comparison_count,whole_sem_p90,whole_score,distinct_imagery_count,imagery_entropy,mihi_full,sentence_pair_count,whole_lex_p90,top1_sent_mean,topk_sent_mean,whole_highsim_ratio,imagery_jaccard_p90,whole_sem_p50,whole_lex_p50,sent_score,whole_pair_count,sent_pseudo_ratio,imagery_score,core_mihi,distinct_category_count,top10_imagery_concentration,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
a1,无限制生成,qwen3-max,45,20,1,青玉案,0.566510,exploratory,0.993684,0.407018,0.123293,240.000000,0.511231,27360.000000,0.916374,0.817610,137.800000,0.922829,0.603720,190.000000,0.445796,0.884200,0.810517,0.563158,0.304853,0.860132,0.269099,0.535856,190.000000,0.359298,0.241230,0.690821,2.000000,0.326352,0.562524,0.443974,0.509176,0.181644
a1,无限制生成,qwen3.5-flash,31,11,1,鹧鸪天,0.850054,exploratory,1.000000,0.018182,0.000000,99.000000,0.691370,4455.000000,0.835249,0.627115,123.000000,0.989591,0.467482,55.000000,0.196875,0.675046,0.626439,0.054545,0.068966,0.731263,0.125000,0.482514,55.000000,0.909091,0.082002,0.562045,3.000000,0.164286,0.528001,0.445810,0.491015,0.071030
a1,无限制生成,qwen3.6-plus,33,16,1,鹧鸪天,0.749498,exploratory,1.000000,0.027778,0.000000,144.000000,0.662230,9720.000000,0.819121,0.606132,158.000000,0.974858,0.455748,120.000000,0.218750,0.689423,0.630729,0.033333,0.083696,0.707458,0.156250,0.469605,120.000000,0.838889,0.093137,0.544695,4.000000,0.179612,0.524806,0.440452,0.486847,0.057848
a1,无限制生成,doubao-seed-2.0-pro,47,38,2,卜算子|鹧鸪天,0.831090,exploratory,1.000000,0.005388,0.000000,162.947368,0.891398,12738.315789,0.767464,0.572983,167.421053,0.991081,0.430662,172.473684,0.200696,0.635176,0.585312,0.005540,0.051242,0.683272,0.125443,0.464453,172.473684,0.905817,0.051306,0.524145,5.894737,0.133717,0.518587,0.432339,0.479776,0.044369
a1,无限制生成,deepseek-3.2-thinking,36,11,1,鹧鸪天,0.873452,exploratory,1.000000,0.012121,0.000000,99.000000,0.948450,4455.000000,0.759140,0.531587,88.000000,0.990723,0.399054,55.000000,0.171875,0.610022,0.551341,0.000000,0.071429,0.607690,0.109375,0.418764,55.000000,0.769697,0.066364,0.480817,8.000000,0.212121,0.528001,0.445810,0.491015,-0.010198
a1,无限制生成,glm-5,37,9,1,鹧鸪天,0.891593,exploratory,1.000000,0.000000,0.000000,81.000000,0.946265,2916.000000,0.729343,0.526100,88.000000,0.996466,0.390729,36.000000,0.156250,0.580741,0.531312,0.000000,0.023810,0.614593,0.125000,0.415889,36.000000,0.805556,0.042114,0.476505,5.000000,0.152174,0.513214,0.446898,0.483372,-0.006867
b1,五词牌-无主题,qwen3.6-plus,120,71,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.982921,main,0.998122,0.151641,0.027261,239.819718,0.743850,40449.273239,0.855564,0.688847,165.028169,0.973494,0.506810,115.830986,0.233736,0.789737,0.717929,0.196202,0.097087,0.785874,0.160770,0.505522,115.830986,0.693148,0.099483,0.606351,3.997183,0.187020,0.568093,0.447507,0.513829,0.092521
b1,五词牌-无主题,doubao-seed-2.0-pro,188,71,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.997117,main,0.998893,0.126529,0.007695,238.647887,0.708206,40048.112676,0.845596,0.652602,165.988732,0.981676,0.490574,115.830986,0.226417,0.763776,0.694596,0.124618,0.074192,0.748000,0.151412,0.513098,115.830986,0.777844,0.086596,0.589825,3.233803,0.171716,0.568093,0.447507,0.513829,0.075996
b1,五词牌-无主题,deepseek-3.2-thinking,138,71,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.983465,main,0.977364,0.085184,0.000000,239.459155,0.888977,40355.661972,0.803334,0.608778,133.304225,0.983597,0.450301,115.830986,0.218297,0.724250,0.657191,0.054361,0.062446,0.713811,0.144886,0.467176,115.830986,0.719425,0.064197,0.545057,4.690141,0.179214,0.568093,0.447507,0.513829,0.031228
b1,五词牌-无主题,glm-5,55,51,4,浪淘沙|清平乐|祝英台近|菩萨蛮,0.945831,main,0.992297,0.053035,0.000000,136.156863,0.858093,9184.627451,0.779605,0.583755,103.431373,0.983671,0.439374,86.745098,0.210579,0.702022,0.632346,0.007843,0.076627,0.696610,0.145863,0.460929,86.745098,0.763694,0.076797,0.528483,4.254902,0.209084,0.541503,0.443387,0.497351,0.031132
b2,五词牌-改革主题,doubao-seed-2.0-pro,167,87,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.981188,main,1.000000,0.108800,0.011905,232.756322,0.781657,33342.356322,0.862494,0.738459,99.282759,0.975005,0.517539,161.528736,0.266071,0.746579,0.669092,0.344460,0.117407,0.821637,0.177740,0.467401,161.528736,0.666357,0.108213,0.616483,2.708046,0.251804,0.559805,0.448965,0.509927,0.106556
b2,五词牌-改革主题,qwen3.6-plus,99,87,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.965775,main,1.000000,0.076780,0.022640,234.287356,0.902481,33752.919540,0.878329,0.758728,161.620690,0.973923,0.513706,161.528736,0.243548,0.738254,0.669371,0.400281,0.093747,0.830346,0.171196,0.445902,161.528736,0.645712,0.081062,0.617956,3.000000,0.186707,0.559805,0.448965,0.509927,0.108029
b2,五词牌-改革主题,deepseek-3.2-thinking,98,58,3,浪淘沙|清平乐|菩萨蛮,0.871104,main,1.000000,0.041586,0.000000,166.206897,0.887428,13134.482759,0.850256,0.681799,71.786207,0.982938,0.464420,178.517241,0.280306,0.727343,0.648220,0.128024,0.072563,0.802234,0.203931,0.401789,178.517241,0.556507,0.084920,0.555794,2.937931,0.269081,0.518151,0.443082,0.484370,0.071425
b3,五词牌-玉兰主题,doubao-seed-2.0-pro,184,88,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.995568,main,1.000000,0.092009,0.010492,218.738636,0.394511,25131.522727,0.863380,0.735903,102.109091,0.972341,0.531132,156.625000,0.270419,0.768564,0.697971,0.330778,0.098785,0.821466,0.190112,0.490879,156.625000,0.745022,0.140841,0.625642,1.911364,0.245786,0.558452,0.448229,0.508851,0.116791
b3,五词牌-玉兰主题,deepseek-3.2-thinking,113,69,4,沁园春|浪淘沙|清平乐|菩萨蛮,0.919562,main,0.997457,0.146892,0.107423,195.449275,0.287543,20054.057971,0.842523,0.687419,55.562319,0.919209,0.522939,152.666667,0.317142,0.798932,0.713369,0.195566,0.239705,0.791099,0.225472,0.457980,152.666667,0.531811,0.266538,0.584171,1.942029,0.448447,0.541879,0.443307,0.497522,0.086650
b3,五词牌-玉兰主题,qwen3.6-plus,106,88,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.977094,main,1.000000,0.096106,0.041278,221.193182,0.173986,25850.790909,0.855254,0.708014,135.329545,0.961727,0.518089,156.625000,0.285947,0.765543,0.699320,0.244225,0.105827,0.805185,0.204479,0.469436,156.625000,0.671101,0.175900,0.600654,1.375000,0.242834,0.558452,0.448229,0.508851,0.091802
c1,沁园春-玉兰主题,doubao-seed-2.0-pro,154,20,1,沁园春,0.000000,main,1.000000,0.447368,0.007143,500.000000,0.643495,118750.000000,0.929174,0.927228,167.400000,0.975217,0.636859,190.000000,0.273525,0.933073,0.842449,0.978947,0.082717,0.905372,0.195683,0.572027,190.000000,0.377193,0.096986,0.767388,2.000000,0.178390,0.635898,0.458012,0.555849,0.211539
c1,沁园春-玉兰主题,deepseek-3.2-thinking,138,20,1,沁园春,0.000000,main,1.000000,0.350877,0.069254,500.200000,0.000000,118845.000000,0.909158,0.884297,108.400000,0.942173,0.630861,190.000000,0.259260,0.898773,0.822154,0.854737,0.172380,0.881204,0.182734,0.529562,190.000000,0.398596,0.237906,0.724666,1.000000,0.323949,0.635898,0.458012,0.555849,0.168817
c1,沁园春-玉兰主题,qwen3.6-plus,64,20,1,沁园春,0.000000,main,1.000000,0.199649,0.038730,500.000000,0.519143,118750.000000,0.910737,0.873670,188.000000,0.967754,0.595687,190.000000,0.227561,0.854429,0.780641,0.804211,0.097810,0.879215,0.168701,0.507030,190.000000,0.569474,0.125373,0.708682,2.600000,0.180273,0.635898,0.458012,0.555849,0.152833
c2,沁园春-改革主题,doubao-seed-2.0-pro,85,20,1,沁园春,0.000000,main,1.000000,0.415439,0.021637,500.200000,0.623232,118845.000000,0.928202,0.929135,140.400000,0.970340,0.642241,190.000000,0.279137,0.924569,0.826947,0.985263,0.120920,0.907243,0.194111,0.571230,190.000000,0.425614,0.121000,0.768078,2.800000,0.212770,0.635898,0.458012,0.555849,0.212229
