db,db_label,prompt_type,model,total_poems,used_poems,used_cipai_count,used_cipais,cipai_entropy,status,whole_sem_p90,sent_pseudo_ratio,imagery_entropy,raw_sentence_comparison_count,topk_sent_mean,imagery_score,whole_pair_count,whole_lex_p50,core_mihi,sentence_pair_count,sentence_count,top1_sent_mean,imagery_jaccard_p50,whole_score,distinct_imagery_count,category_entropy,whole_lex_p90,whole_pseudo_ratio,sent_score,top10_imagery_concentration,mihi_full,imagery_jaccard_p90,whole_sem_p50,sent_highsim_ratio,whole_highsim_ratio,distinct_category_count,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
a1,无限制生成,type_c,qwen3-max,45,20,1,青玉案,0.566510,exploratory,0.916374,0.359298,0.922829,27360.000000,0.810517,0.241230,190.000000,0.269099,0.690821,190.000000,240.000000,0.884200,0.123293,0.817610,137.800000,0.511231,0.445796,0.993684,0.535856,0.326352,0.603720,0.304853,0.860132,0.407018,0.563158,2.000000,0.562524,0.443974,0.509176,0.181644
a1,无限制生成,type_c,qwen3.5-flash,31,11,1,鹧鸪天,0.850054,exploratory,0.835249,0.909091,0.989591,4455.000000,0.626439,0.082002,55.000000,0.125000,0.562045,55.000000,99.000000,0.675046,0.000000,0.627115,123.000000,0.691370,0.196875,1.000000,0.482514,0.164286,0.467482,0.068966,0.731263,0.018182,0.054545,3.000000,0.528001,0.445810,0.491015,0.071030
a1,无限制生成,type_c,qwen3.6-plus,33,16,1,鹧鸪天,0.749498,exploratory,0.819121,0.838889,0.974858,9720.000000,0.630729,0.093137,120.000000,0.156250,0.544695,120.000000,144.000000,0.689423,0.000000,0.606132,158.000000,0.662230,0.218750,1.000000,0.469605,0.179612,0.455748,0.083696,0.707458,0.027778,0.033333,4.000000,0.524806,0.440452,0.486847,0.057848
a1,无限制生成,type_c,doubao-seed-2.0-pro,47,38,2,卜算子|鹧鸪天,0.831090,exploratory,0.767464,0.905817,0.991081,12738.315789,0.585312,0.051306,172.473684,0.125443,0.524145,172.473684,162.947368,0.635176,0.000000,0.572983,167.421053,0.891398,0.200696,1.000000,0.464453,0.133717,0.430662,0.051242,0.683272,0.005388,0.005540,5.894737,0.518587,0.432339,0.479776,0.044369
a1,无限制生成,type_c,deepseek-3.2-thinking,36,11,1,鹧鸪天,0.873452,exploratory,0.759140,0.769697,0.990723,4455.000000,0.551341,0.066364,55.000000,0.109375,0.480817,55.000000,99.000000,0.610022,0.000000,0.531587,88.000000,0.948450,0.171875,1.000000,0.418764,0.212121,0.399054,0.071429,0.607690,0.012121,0.000000,8.000000,0.528001,0.445810,0.491015,-0.010198
a1,无限制生成,type_c,glm-5,37,9,1,鹧鸪天,0.891593,exploratory,0.729343,0.805556,0.996466,2916.000000,0.531312,0.042114,36.000000,0.125000,0.476505,36.000000,81.000000,0.580741,0.000000,0.526100,88.000000,0.946265,0.156250,1.000000,0.415889,0.152174,0.390729,0.023810,0.614593,0.000000,0.000000,5.000000,0.513214,0.446898,0.483372,-0.006867
b1,五词牌-无主题,type_b,qwen3.6-plus,120,71,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.982921,main,0.855564,0.693148,0.973494,40449.273239,0.717929,0.099483,115.830986,0.160770,0.606351,115.830986,239.819718,0.789737,0.027261,0.688847,165.028169,0.743850,0.233736,0.998122,0.505522,0.187020,0.506810,0.097087,0.785874,0.151641,0.196202,3.997183,0.568093,0.447507,0.513829,0.092521
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,188,71,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.997117,main,0.845596,0.777844,0.981676,40048.112676,0.694596,0.086596,115.830986,0.151412,0.589825,115.830986,238.647887,0.763776,0.007695,0.652602,165.988732,0.708206,0.226417,0.998893,0.513098,0.171716,0.490574,0.074192,0.748000,0.126529,0.124618,3.233803,0.568093,0.447507,0.513829,0.075996
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,138,71,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.983465,main,0.803334,0.719425,0.983597,40355.661972,0.657191,0.064197,115.830986,0.144886,0.545057,115.830986,239.459155,0.724250,0.000000,0.608778,133.304225,0.888977,0.218297,0.977364,0.467176,0.179214,0.450301,0.062446,0.713811,0.085184,0.054361,4.690141,0.568093,0.447507,0.513829,0.031228
b1,五词牌-无主题,type_b,glm-5,55,51,4,浪淘沙|清平乐|祝英台近|菩萨蛮,0.945831,main,0.779605,0.763694,0.983671,9184.627451,0.632346,0.076797,86.745098,0.145863,0.528483,86.745098,136.156863,0.702022,0.000000,0.583755,103.431373,0.858093,0.210579,0.992297,0.460929,0.209084,0.439374,0.076627,0.696610,0.053035,0.007843,4.254902,0.541503,0.443387,0.497351,0.031132
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,167,87,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.981188,main,0.862494,0.666357,0.975005,33342.356322,0.669092,0.108213,161.528736,0.177740,0.616483,161.528736,232.756322,0.746579,0.011905,0.738459,99.282759,0.781657,0.266071,1.000000,0.467401,0.251804,0.517539,0.117407,0.821637,0.108800,0.344460,2.708046,0.559805,0.448965,0.509927,0.106556
b2,五词牌-改革主题,type_d,qwen3.6-plus,99,87,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.965775,main,0.878329,0.645712,0.973923,33752.919540,0.669371,0.081062,161.528736,0.171196,0.617956,161.528736,234.287356,0.738254,0.022640,0.758728,161.620690,0.902481,0.243548,1.000000,0.445902,0.186707,0.513706,0.093747,0.830346,0.076780,0.400281,3.000000,0.559805,0.448965,0.509927,0.108029
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,98,58,3,浪淘沙|清平乐|菩萨蛮,0.871104,main,0.850256,0.556507,0.982938,13134.482759,0.648220,0.084920,178.517241,0.203931,0.555794,178.517241,166.206897,0.727343,0.000000,0.681799,71.786207,0.887428,0.280306,1.000000,0.401789,0.269081,0.464420,0.072563,0.802234,0.041586,0.128024,2.937931,0.518151,0.443082,0.484370,0.071425
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,184,88,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.995568,main,0.863380,0.745022,0.972341,25131.522727,0.697971,0.140841,156.625000,0.190112,0.625642,156.625000,218.738636,0.768564,0.010492,0.735903,102.109091,0.394511,0.270419,1.000000,0.490879,0.245786,0.531132,0.098785,0.821466,0.092009,0.330778,1.911364,0.558452,0.448229,0.508851,0.116791
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,113,69,4,沁园春|浪淘沙|清平乐|菩萨蛮,0.919562,main,0.842523,0.531811,0.919209,20054.057971,0.713369,0.266538,152.666667,0.225472,0.584171,152.666667,195.449275,0.798932,0.107423,0.687419,55.562319,0.287543,0.317142,0.997457,0.457980,0.448447,0.522939,0.239705,0.791099,0.146892,0.195566,1.942029,0.541879,0.443307,0.497522,0.086650
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,106,88,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.977094,main,0.855254,0.671101,0.961727,25850.790909,0.699320,0.175900,156.625000,0.204479,0.600654,156.625000,221.193182,0.765543,0.041278,0.708014,135.329545,0.173986,0.285947,1.000000,0.469436,0.242834,0.518089,0.105827,0.805185,0.096106,0.244225,1.375000,0.558452,0.448229,0.508851,0.091802
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,154,20,1,沁园春,0.000000,main,0.929174,0.377193,0.975217,118750.000000,0.842449,0.096986,190.000000,0.195683,0.767388,190.000000,500.000000,0.933073,0.007143,0.927228,167.400000,0.643495,0.273525,1.000000,0.572027,0.178390,0.636859,0.082717,0.905372,0.447368,0.978947,2.000000,0.635898,0.458012,0.555849,0.211539
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,138,20,1,沁园春,0.000000,main,0.909158,0.398596,0.942173,118845.000000,0.822154,0.237906,190.000000,0.182734,0.724666,190.000000,500.200000,0.898773,0.069254,0.884297,108.400000,0.000000,0.259260,1.000000,0.529562,0.323949,0.630861,0.172380,0.881204,0.350877,0.854737,1.000000,0.635898,0.458012,0.555849,0.168817
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,64,20,1,沁园春,0.000000,main,0.910737,0.569474,0.967754,118750.000000,0.780641,0.125319,190.000000,0.168701,0.708682,190.000000,500.000000,0.854429,0.038576,0.873670,188.000000,0.519143,0.227561,1.000000,0.507030,0.180273,0.595676,0.097810,0.879215,0.199649,0.804211,2.600000,0.635898,0.458012,0.555849,0.152833
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,85,20,1,沁园春,0.000000,main,0.928202,0.425614,0.970340,118845.000000,0.826947,0.121691,190.000000,0.194111,0.768078,190.000000,500.200000,0.924569,0.021964,0.929135,140.400000,0.623232,0.279137,1.000000,0.571230,0.212770,0.642379,0.123227,0.907243,0.415439,0.985263,2.800000,0.635898,0.458012,0.555849,0.212229
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,18,18,1,沁园春,0.000000,low_sample,0.935109,0.300654,0.960053,95625.000000,0.818970,0.117201,153.000000,0.185714,0.728809,153.000000,450.000000,0.885035,0.000000,0.920706,85.000000,0.852792,0.256811,1.000000,0.494269,0.316239,0.610752,0.140952,0.906490,0.346405,0.934641,3.000000,0.629977,0.456633,0.551972,0.176837
c2,沁园春-改革主题,type_e,qwen3.6-plus,19,19,1,沁园春,0.000000,low_sample,0.928201,0.399610,0.967198,107776.000000,0.771750,0.073446,171.000000,0.157706,0.716466,171.000000,477.000000,0.844930,0.031250,0.927012,215.000000,0.949452,0.208633,1.000000,0.459132,0.172185,0.592541,0.078947,0.904122,0.214425,0.982456,2.000000,0.643064,0.459447,0.560436,0.156030
