db,db_label,prompt_type,model,bucket,count,ratio
a1,无限制生成,type_c,deepseek-3.2-thinking,100,16,0.320000
a1,无限制生成,type_c,deepseek-3.2-thinking,80_99,10,0.200000
a1,无限制生成,type_c,deepseek-3.2-thinking,60_79,10,0.200000
a1,无限制生成,type_c,deepseek-3.2-thinking,1_59,6,0.120000
a1,无限制生成,type_c,deepseek-3.2-thinking,0,8,0.160000
a1,无限制生成,type_c,doubao-seed-2.0-pro,100,44,0.880000
a1,无限制生成,type_c,doubao-seed-2.0-pro,80_99,3,0.060000
a1,无限制生成,type_c,doubao-seed-2.0-pro,60_79,0,0.000000
a1,无限制生成,type_c,doubao-seed-2.0-pro,1_59,1,0.020000
a1,无限制生成,type_c,doubao-seed-2.0-pro,0,2,0.040000
a1,无限制生成,type_c,gemini-3-flash,100,9,0.450000
a1,无限制生成,type_c,gemini-3-flash,80_99,4,0.200000
a1,无限制生成,type_c,gemini-3-flash,60_79,4,0.200000
a1,无限制生成,type_c,gemini-3-flash,1_59,1,0.050000
a1,无限制生成,type_c,gemini-3-flash,0,2,0.100000
a1,无限制生成,type_c,gemini-3.1-pro,100,9,0.900000
a1,无限制生成,type_c,gemini-3.1-pro,80_99,0,0.000000
a1,无限制生成,type_c,gemini-3.1-pro,60_79,0,0.000000
a1,无限制生成,type_c,gemini-3.1-pro,1_59,1,0.100000
a1,无限制生成,type_c,gemini-3.1-pro,0,0,0.000000
a1,无限制生成,type_c,glm-4.7,100,6,0.133333
a1,无限制生成,type_c,glm-4.7,80_99,3,0.066667
a1,无限制生成,type_c,glm-4.7,60_79,8,0.177778
a1,无限制生成,type_c,glm-4.7,1_59,5,0.111111
a1,无限制生成,type_c,glm-4.7,0,23,0.511111
a1,无限制生成,type_c,glm-5,100,25,0.500000
a1,无限制生成,type_c,glm-5,80_99,4,0.080000
a1,无限制生成,type_c,glm-5,60_79,8,0.160000
a1,无限制生成,type_c,glm-5,1_59,5,0.100000
a1,无限制生成,type_c,glm-5,0,8,0.160000
a1,无限制生成,type_c,gpt-5.4-high,100,2,1.000000
a1,无限制生成,type_c,gpt-5.4-high,80_99,0,0.000000
a1,无限制生成,type_c,gpt-5.4-high,60_79,0,0.000000
a1,无限制生成,type_c,gpt-5.4-high,1_59,0,0.000000
a1,无限制生成,type_c,gpt-5.4-high,0,0,0.000000
a1,无限制生成,type_c,kimi-k2.5,100,4,0.142857
a1,无限制生成,type_c,kimi-k2.5,80_99,7,0.250000
a1,无限制生成,type_c,kimi-k2.5,60_79,8,0.285714
a1,无限制生成,type_c,kimi-k2.5,1_59,4,0.142857
a1,无限制生成,type_c,kimi-k2.5,0,5,0.178571
a1,无限制生成,type_c,qwen3-max,100,43,0.895833
a1,无限制生成,type_c,qwen3-max,80_99,2,0.041667
a1,无限制生成,type_c,qwen3-max,60_79,0,0.000000
a1,无限制生成,type_c,qwen3-max,1_59,0,0.000000
a1,无限制生成,type_c,qwen3-max,0,3,0.062500
a1,无限制生成,type_c,qwen3.5-flash,100,18,0.360000
a1,无限制生成,type_c,qwen3.5-flash,80_99,4,0.080000
a1,无限制生成,type_c,qwen3.5-flash,60_79,9,0.180000
a1,无限制生成,type_c,qwen3.5-flash,1_59,2,0.040000
a1,无限制生成,type_c,qwen3.5-flash,0,17,0.340000
a1,无限制生成,type_c,qwen3.6-plus,100,21,0.428571
a1,无限制生成,type_c,qwen3.6-plus,80_99,6,0.122449
a1,无限制生成,type_c,qwen3.6-plus,60_79,6,0.122449
a1,无限制生成,type_c,qwen3.6-plus,1_59,4,0.081633
a1,无限制生成,type_c,qwen3.6-plus,0,12,0.244898
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,100,88,0.440000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,80_99,21,0.105000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,60_79,29,0.145000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,1_59,30,0.150000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,0,32,0.160000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,100,159,0.795000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,80_99,17,0.085000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,60_79,12,0.060000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,1_59,3,0.015000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,0,9,0.045000
b1,五词牌-无主题,type_b,glm-5,100,34,0.346939
b1,五词牌-无主题,type_b,glm-5,80_99,5,0.051020
b1,五词牌-无主题,type_b,glm-5,60_79,16,0.163265
b1,五词牌-无主题,type_b,glm-5,1_59,12,0.122449
b1,五词牌-无主题,type_b,glm-5,0,31,0.316327
b1,五词牌-无主题,type_b,qwen3.6-plus,100,93,0.494681
b1,五词牌-无主题,type_b,qwen3.6-plus,80_99,14,0.074468
b1,五词牌-无主题,type_b,qwen3.6-plus,60_79,13,0.069149
b1,五词牌-无主题,type_b,qwen3.6-plus,1_59,6,0.031915
b1,五词牌-无主题,type_b,qwen3.6-plus,0,62,0.329787
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,100,53,0.265000
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,80_99,22,0.110000
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,60_79,23,0.115000
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,1_59,46,0.230000
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,0,56,0.280000
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,100,104,0.520000
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,80_99,31,0.155000
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,60_79,32,0.160000
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,1_59,20,0.100000
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,0,13,0.065000
b2,五词牌-改革主题,type_d,gemini-3.1-pro,100,4,1.000000
b2,五词牌-改革主题,type_d,gemini-3.1-pro,80_99,0,0.000000
b2,五词牌-改革主题,type_d,gemini-3.1-pro,60_79,0,0.000000
b2,五词牌-改革主题,type_d,gemini-3.1-pro,1_59,0,0.000000
b2,五词牌-改革主题,type_d,gemini-3.1-pro,0,0,0.000000
b2,五词牌-改革主题,type_d,glm-5,100,20,0.317460
b2,五词牌-改革主题,type_d,glm-5,80_99,3,0.047619
b2,五词牌-改革主题,type_d,glm-5,60_79,6,0.095238
b2,五词牌-改革主题,type_d,glm-5,1_59,8,0.126984
b2,五词牌-改革主题,type_d,glm-5,0,26,0.412698
b2,五词牌-改革主题,type_d,qwen3.6-plus,100,71,0.440994
b2,五词牌-改革主题,type_d,qwen3.6-plus,80_99,10,0.062112
b2,五词牌-改革主题,type_d,qwen3.6-plus,60_79,18,0.111801
b2,五词牌-改革主题,type_d,qwen3.6-plus,1_59,6,0.037267
b2,五词牌-改革主题,type_d,qwen3.6-plus,0,56,0.347826
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,100,64,0.320000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,80_99,21,0.105000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,60_79,28,0.140000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,1_59,22,0.110000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,0,65,0.325000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,100,133,0.665000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,80_99,23,0.115000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,60_79,28,0.140000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,1_59,3,0.015000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,0,13,0.065000
b3,五词牌-玉兰主题,type_d,gemini-3.1-pro,100,2,1.000000
b3,五词牌-玉兰主题,type_d,gemini-3.1-pro,80_99,0,0.000000
b3,五词牌-玉兰主题,type_d,gemini-3.1-pro,60_79,0,0.000000
b3,五词牌-玉兰主题,type_d,gemini-3.1-pro,1_59,0,0.000000
b3,五词牌-玉兰主题,type_d,gemini-3.1-pro,0,0,0.000000
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,100,63,0.333333
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,80_99,17,0.089947
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,60_79,26,0.137566
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,1_59,12,0.063492
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,0,71,0.375661
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,100,65,0.325000
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,80_99,38,0.190000
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,60_79,35,0.175000
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,1_59,9,0.045000
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,0,53,0.265000
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,100,114,0.570000
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,80_99,19,0.095000
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,60_79,21,0.105000
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,1_59,7,0.035000
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,0,39,0.195000
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,100,2,1.000000
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,80_99,0,0.000000
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,60_79,0,0.000000
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,1_59,0,0.000000
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,0,0,0.000000
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,100,48,0.322148
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,80_99,9,0.060403
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,60_79,7,0.046980
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,1_59,4,0.026846
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,0,81,0.543624
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,100,1,0.010101
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,80_99,3,0.030303
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,60_79,14,0.141414
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,1_59,16,0.161616
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,0,65,0.656566
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,100,47,0.470000
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,80_99,23,0.230000
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,60_79,15,0.150000
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,1_59,4,0.040000
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,0,11,0.110000
c2,沁园春-改革主题,type_e,qwen3.6-plus,100,12,0.184615
c2,沁园春-改革主题,type_e,qwen3.6-plus,80_99,4,0.061538
c2,沁园春-改革主题,type_e,qwen3.6-plus,60_79,3,0.046154
c2,沁园春-改革主题,type_e,qwen3.6-plus,1_59,3,0.046154
c2,沁园春-改革主题,type_e,qwen3.6-plus,0,43,0.661538
