db,db_label,prompt_type,model,cipai,total_poems,avg_rhythm_score,median_rhythm_score,p25_rhythm_score,p75_rhythm_score,perfect_100_ratio,high_quality_ratio,mid_quality_ratio,low_quality_ratio,zero_score_ratio,issue_free_ratio,avg_raw_issue_count,avg_substantive_issue_count,length_mismatch_poem_ratio,length_mismatch_avg_count,tone_expected_flat_poem_ratio,tone_expected_flat_avg_count,tone_expected_oblique_poem_ratio,tone_expected_oblique_avg_count,rhyme_mismatch_poem_ratio,rhyme_mismatch_avg_count,unknown_char_poem_ratio,unknown_char_avg_count,variant_autocorrect_poem_ratio,variant_autocorrect_avg_count,other_poem_ratio,other_avg_count
a1,无限制生成,type_c,deepseek-3.2-thinking,青玉案,11,46.909091,76.000000,0.000000,88.000000,0.090909,0.363636,0.181818,0.000000,0.454545,0.090909,6.454545,6.454545,0.090909,0.090909,0.727273,3.272727,0.545455,3.090909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
a1,无限制生成,type_c,deepseek-3.2-thinking,鹧鸪天,15,69.066667,76.000000,52.000000,100.000000,0.333333,0.466667,0.266667,0.133333,0.133333,0.333333,2.133333,2.133333,0.066667,0.066667,0.533333,1.266667,0.533333,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
a1,无限制生成,type_c,doubao-seed-2.0-pro,卜算子,18,99.333333,100.000000,100.000000,100.000000,0.944444,1.000000,0.000000,0.000000,0.000000,0.944444,0.055556,0.055556,0.000000,0.000000,0.055556,0.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
a1,无限制生成,type_c,doubao-seed-2.0-pro,鹧鸪天,26,95.230769,100.000000,100.000000,100.000000,0.884615,0.961538,0.000000,0.000000,0.038462,0.884615,0.115385,0.115385,0.038462,0.038462,0.038462,0.038462,0.038462,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
a1,无限制生成,type_c,glm-5,鹧鸪天,12,77.000000,100.000000,75.000000,100.000000,0.666667,0.750000,0.000000,0.083333,0.166667,0.666667,1.333333,1.333333,0.083333,0.083333,0.250000,0.500000,0.166667,0.666667,0.083333,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
a1,无限制生成,type_c,qwen3-max,临江仙,9,66.666667,100.000000,0.000000,100.000000,0.666667,0.666667,0.000000,0.000000,0.333333,0.666667,6.888889,6.888889,0.000000,0.000000,0.333333,2.444444,0.333333,3.444444,0.333333,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
a1,无限制生成,type_c,qwen3-max,青玉案,39,99.282051,100.000000,100.000000,100.000000,0.948718,1.000000,0.000000,0.000000,0.000000,0.948718,0.051282,0.051282,0.000000,0.000000,0.025641,0.025641,0.000000,0.000000,0.025641,0.025641,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
a1,无限制生成,type_c,qwen3.5-flash,鹧鸪天,13,82.769231,100.000000,88.000000,100.000000,0.692308,0.846154,0.000000,0.000000,0.153846,0.538462,1.692308,1.692308,0.000000,0.000000,0.153846,0.923077,0.307692,0.615385,0.000000,0.000000,0.153846,0.153846,0.000000,0.000000,0.000000,0.000000
a1,无限制生成,type_c,qwen3.6-plus,临江仙,8,69.000000,88.000000,57.000000,100.000000,0.375000,0.625000,0.125000,0.000000,0.250000,0.250000,0.875000,0.875000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,0.000000,0.000000,0.125000,0.125000,0.000000,0.000000,0.000000,0.000000
a1,无限制生成,type_c,qwen3.6-plus,青玉案,8,50.500000,52.000000,0.000000,100.000000,0.375000,0.500000,0.000000,0.125000,0.375000,0.375000,2.500000,2.500000,0.250000,0.250000,0.250000,1.250000,0.375000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
a1,无限制生成,type_c,qwen3.6-plus,鹧鸪天,21,71.809524,100.000000,64.000000,100.000000,0.619048,0.619048,0.142857,0.047619,0.190476,0.619048,1.333333,1.333333,0.142857,0.142857,0.238095,0.666667,0.238095,0.476190,0.047619,0.047619,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,沁园春,44,49.181818,52.000000,0.000000,88.000000,0.181818,0.295455,0.159091,0.250000,0.295455,0.159091,7.136364,7.136364,0.068182,0.068182,0.613636,3.909091,0.727273,2.931818,0.159091,0.159091,0.068182,0.068182,0.000000,0.000000,0.000000,0.000000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,浪淘沙,38,87.473684,100.000000,88.000000,100.000000,0.710526,0.842105,0.052632,0.052632,0.052632,0.657895,2.210526,1.263158,0.026316,0.026316,0.131579,0.500000,0.263158,0.631579,0.000000,0.000000,0.105263,0.105263,0.947368,0.947368,0.000000,0.000000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,清平乐,42,82.000000,100.000000,88.000000,100.000000,0.666667,0.785714,0.071429,0.000000,0.142857,0.666667,0.452381,0.452381,0.142857,0.142857,0.166667,0.238095,0.071429,0.071429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,祝英台近,40,56.400000,74.000000,18.000000,88.000000,0.225000,0.375000,0.175000,0.200000,0.250000,0.225000,2.525000,2.525000,0.200000,0.200000,0.425000,1.100000,0.525000,1.075000,0.100000,0.100000,0.050000,0.050000,0.000000,0.000000,0.000000,0.000000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,菩萨蛮,36,71.444444,76.000000,52.000000,100.000000,0.444444,0.444444,0.277778,0.250000,0.027778,0.444444,2.166667,2.166667,0.027778,0.027778,0.527778,1.222222,0.527778,0.888889,0.027778,0.027778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,沁园春,34,89.176471,100.000000,88.000000,100.000000,0.676471,0.823529,0.117647,0.000000,0.058824,0.588235,1.264706,1.264706,0.029412,0.029412,0.176471,0.500000,0.235294,0.558824,0.029412,0.058824,0.117647,0.117647,0.000000,0.000000,0.000000,0.000000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,浪淘沙,36,98.666667,100.000000,100.000000,100.000000,0.944444,0.972222,0.027778,0.000000,0.000000,0.916667,1.138889,0.138889,0.000000,0.000000,0.055556,0.083333,0.027778,0.027778,0.000000,0.000000,0.027778,0.027778,1.000000,1.000000,0.000000,0.000000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,清平乐,44,97.454545,100.000000,100.000000,100.000000,0.954545,0.977273,0.000000,0.000000,0.022727,0.886364,0.113636,0.113636,0.022727,0.022727,0.022727,0.022727,0.000000,0.000000,0.000000,0.000000,0.068182,0.068182,0.000000,0.000000,0.000000,0.000000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,祝英台近,41,89.658537,100.000000,88.000000,100.000000,0.731707,0.878049,0.048780,0.000000,0.073171,0.707317,0.365854,0.365854,0.073171,0.073171,0.121951,0.121951,0.097561,0.097561,0.024390,0.024390,0.048780,0.048780,0.000000,0.000000,0.000000,0.000000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,菩萨蛮,45,86.133333,100.000000,88.000000,100.000000,0.666667,0.755556,0.111111,0.066667,0.066667,0.644444,0.688889,0.688889,0.066667,0.066667,0.200000,0.244444,0.244444,0.355556,0.000000,0.000000,0.022222,0.022222,0.000000,0.000000,0.000000,0.000000
b1,五词牌-无主题,type_b,glm-5,沁园春,24,14.500000,0.000000,0.000000,4.000000,0.041667,0.041667,0.125000,0.083333,0.750000,0.041667,14.041667,14.041667,0.208333,0.208333,0.750000,7.458333,0.750000,5.875000,0.208333,0.333333,0.166667,0.166667,0.000000,0.000000,0.000000,0.000000
b1,五词牌-无主题,type_b,glm-5,浪淘沙,16,97.750000,100.000000,100.000000,100.000000,0.875000,0.937500,0.062500,0.000000,0.000000,0.875000,1.187500,0.187500,0.000000,0.000000,0.125000,0.125000,0.062500,0.062500,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000
b1,五词牌-无主题,type_b,glm-5,清平乐,20,70.600000,82.000000,61.000000,100.000000,0.400000,0.500000,0.250000,0.100000,0.150000,0.400000,1.650000,1.650000,0.100000,0.100000,0.300000,0.400000,0.450000,0.850000,0.050000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b1,五词牌-无主题,type_b,glm-5,祝英台近,19,54.315789,76.000000,0.000000,100.000000,0.368421,0.421053,0.157895,0.052632,0.368421,0.368421,1.105263,1.105263,0.368421,0.368421,0.157895,0.315789,0.263158,0.421053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b1,五词牌-无主题,type_b,glm-5,菩萨蛮,19,53.894737,52.000000,28.000000,82.000000,0.210526,0.263158,0.210526,0.368421,0.157895,0.210526,3.157895,3.157895,0.105263,0.105263,0.684211,1.684211,0.631579,1.368421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b1,五词牌-无主题,type_b,qwen3.6-plus,沁园春,40,63.400000,94.000000,0.000000,100.000000,0.500000,0.600000,0.050000,0.050000,0.300000,0.375000,2.825000,2.825000,0.225000,0.225000,0.225000,1.175000,0.225000,1.125000,0.075000,0.100000,0.200000,0.200000,0.000000,0.000000,0.000000,0.000000
b1,五词牌-无主题,type_b,qwen3.6-plus,浪淘沙,35,59.200000,100.000000,0.000000,100.000000,0.514286,0.542857,0.057143,0.028571,0.371429,0.485714,1.828571,1.200000,0.342857,0.342857,0.142857,0.400000,0.114286,0.228571,0.057143,0.171429,0.057143,0.057143,0.628571,0.628571,0.000000,0.000000
b1,五词牌-无主题,type_b,qwen3.6-plus,清平乐,30,76.000000,100.000000,76.000000,100.000000,0.633333,0.666667,0.133333,0.000000,0.200000,0.633333,0.533333,0.533333,0.200000,0.200000,0.166667,0.200000,0.133333,0.133333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b1,五词牌-无主题,type_b,qwen3.6-plus,祝英台近,35,43.314286,32.000000,0.000000,88.000000,0.200000,0.342857,0.114286,0.057143,0.485714,0.200000,1.114286,1.114286,0.485714,0.485714,0.114286,0.114286,0.314286,0.371429,0.085714,0.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b1,五词牌-无主题,type_b,qwen3.6-plus,菩萨蛮,48,67.666667,100.000000,0.000000,100.000000,0.604167,0.666667,0.020833,0.020833,0.291667,0.562500,0.562500,0.562500,0.291667,0.291667,0.083333,0.083333,0.041667,0.041667,0.041667,0.104167,0.041667,0.041667,0.000000,0.000000,0.000000,0.000000
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,沁园春,38,19.263158,0.000000,0.000000,25.000000,0.000000,0.052632,0.105263,0.315789,0.526316,0.000000,12.210526,12.210526,0.078947,0.078947,0.894737,7.131579,0.842105,4.684211,0.184211,0.315789,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,浪淘沙,34,67.647059,88.000000,28.000000,100.000000,0.441176,0.558824,0.117647,0.176471,0.147059,0.441176,4.058824,3.205882,0.029412,0.029412,0.470588,1.705882,0.470588,1.470588,0.000000,0.000000,0.000000,0.000000,0.852941,0.852941,0.000000,0.000000
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,清平乐,44,79.636364,94.000000,76.000000,100.000000,0.500000,0.704545,0.136364,0.045455,0.113636,0.500000,0.863636,0.863636,0.113636,0.113636,0.340909,0.431818,0.227273,0.318182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,祝英台近,40,22.600000,0.000000,0.000000,42.000000,0.025000,0.075000,0.075000,0.300000,0.550000,0.025000,2.875000,2.875000,0.500000,0.500000,0.450000,1.325000,0.450000,0.925000,0.100000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,菩萨蛮,44,66.909091,76.000000,40.000000,100.000000,0.340909,0.454545,0.136364,0.318182,0.090909,0.340909,2.090909,2.090909,0.090909,0.090909,0.522727,1.227273,0.477273,0.772727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,沁园春,44,81.636364,88.000000,76.000000,100.000000,0.477273,0.636364,0.272727,0.000000,0.090909,0.477273,2.204545,2.204545,0.045455,0.045455,0.386364,1.250000,0.272727,0.886364,0.022727,0.022727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,浪淘沙,38,85.052632,100.000000,88.000000,100.000000,0.684211,0.842105,0.026316,0.026316,0.105263,0.684211,1.842105,0.947368,0.078947,0.078947,0.236842,0.552632,0.078947,0.315789,0.000000,0.000000,0.000000,0.000000,0.894737,0.894737,0.000000,0.000000
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,清平乐,46,95.739130,100.000000,100.000000,100.000000,0.847826,0.934783,0.043478,0.000000,0.021739,0.847826,0.195652,0.195652,0.021739,0.021739,0.108696,0.108696,0.065217,0.065217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,祝英台近,31,76.387097,88.000000,64.000000,100.000000,0.387097,0.645161,0.161290,0.096774,0.096774,0.387097,1.225806,1.225806,0.096774,0.096774,0.419355,0.677419,0.225806,0.354839,0.096774,0.096774,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,菩萨蛮,41,63.902439,76.000000,52.000000,88.000000,0.146341,0.292683,0.292683,0.390244,0.024390,0.146341,2.829268,2.829268,0.024390,0.024390,0.804878,1.439024,0.682927,1.365854,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b2,五词牌-改革主题,type_d,glm-5,浪淘沙,12,82.666667,100.000000,88.000000,100.000000,0.666667,0.833333,0.000000,0.083333,0.083333,0.666667,1.750000,0.833333,0.083333,0.083333,0.083333,0.333333,0.250000,0.416667,0.000000,0.000000,0.000000,0.000000,0.916667,0.916667,0.000000,0.000000
b2,五词牌-改革主题,type_d,glm-5,清平乐,18,58.666667,76.000000,0.000000,100.000000,0.388889,0.388889,0.222222,0.055556,0.333333,0.388889,1.000000,1.000000,0.333333,0.333333,0.277778,0.333333,0.277778,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b2,五词牌-改革主题,type_d,glm-5,祝英台近,15,8.533333,0.000000,0.000000,0.000000,0.000000,0.066667,0.000000,0.066667,0.866667,0.000000,1.266667,1.266667,0.866667,0.866667,0.066667,0.266667,0.133333,0.133333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b2,五词牌-改革主题,type_d,glm-5,菩萨蛮,12,56.333333,52.000000,28.000000,100.000000,0.333333,0.333333,0.083333,0.416667,0.166667,0.333333,2.416667,2.416667,0.166667,0.166667,0.500000,1.166667,0.500000,1.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b2,五词牌-改革主题,type_d,qwen3.6-plus,沁园春,25,70.720000,88.000000,76.000000,100.000000,0.440000,0.640000,0.120000,0.000000,0.240000,0.440000,3.640000,3.640000,0.120000,0.120000,0.360000,1.840000,0.280000,1.520000,0.080000,0.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b2,五词牌-改革主题,type_d,qwen3.6-plus,浪淘沙,24,72.500000,100.000000,48.000000,100.000000,0.666667,0.666667,0.083333,0.000000,0.250000,0.666667,2.125000,1.375000,0.208333,0.208333,0.125000,0.583333,0.125000,0.458333,0.041667,0.125000,0.000000,0.000000,0.750000,0.750000,0.000000,0.000000
b2,五词牌-改革主题,type_d,qwen3.6-plus,清平乐,39,77.641026,100.000000,74.000000,100.000000,0.692308,0.717949,0.051282,0.051282,0.179487,0.692308,0.743590,0.743590,0.153846,0.153846,0.153846,0.256410,0.076923,0.230769,0.076923,0.102564,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b2,五词牌-改革主题,type_d,qwen3.6-plus,祝英台近,36,24.555556,0.000000,0.000000,61.000000,0.027778,0.083333,0.194444,0.055556,0.666667,0.027778,1.611111,1.611111,0.638889,0.638889,0.250000,0.388889,0.333333,0.416667,0.055556,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b2,五词牌-改革主题,type_d,qwen3.6-plus,菩萨蛮,37,58.054054,76.000000,0.000000,100.000000,0.432432,0.486486,0.108108,0.054054,0.351351,0.432432,1.162162,1.162162,0.324324,0.324324,0.216216,0.378378,0.189189,0.243243,0.081081,0.216216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,沁园春,35,33.942857,0.000000,0.000000,82.000000,0.142857,0.257143,0.114286,0.085714,0.542857,0.142857,11.000000,11.000000,0.171429,0.171429,0.628571,5.800000,0.600000,4.685714,0.171429,0.314286,0.028571,0.028571,0.000000,0.000000,0.000000,0.000000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,浪淘沙,48,67.916667,100.000000,0.000000,100.000000,0.520833,0.604167,0.104167,0.020833,0.270833,0.520833,3.375000,2.645833,0.145833,0.145833,0.291667,1.208333,0.291667,1.145833,0.083333,0.145833,0.000000,0.000000,0.729167,0.729167,0.000000,0.000000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,清平乐,35,70.971429,100.000000,34.000000,100.000000,0.571429,0.657143,0.085714,0.028571,0.228571,0.571429,0.714286,0.714286,0.228571,0.228571,0.171429,0.257143,0.142857,0.142857,0.028571,0.085714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,祝英台近,32,26.750000,0.000000,0.000000,52.000000,0.000000,0.093750,0.125000,0.250000,0.531250,0.000000,3.031250,3.031250,0.468750,0.468750,0.531250,1.593750,0.375000,0.781250,0.125000,0.187500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,菩萨蛮,50,64.320000,76.000000,43.000000,100.000000,0.280000,0.420000,0.240000,0.180000,0.160000,0.280000,2.500000,2.500000,0.100000,0.100000,0.600000,1.420000,0.480000,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,沁园春,45,83.466667,100.000000,76.000000,100.000000,0.555556,0.688889,0.200000,0.044444,0.066667,0.533333,1.888889,1.888889,0.022222,0.022222,0.377778,1.088889,0.266667,0.711111,0.044444,0.044444,0.022222,0.022222,0.000000,0.000000,0.000000,0.000000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,浪淘沙,42,95.047619,100.000000,100.000000,100.000000,0.880952,0.904762,0.071429,0.000000,0.023810,0.880952,1.214286,0.238095,0.023810,0.023810,0.095238,0.095238,0.071429,0.119048,0.000000,0.000000,0.000000,0.000000,0.976190,0.976190,0.000000,0.000000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,清平乐,34,92.352941,100.000000,100.000000,100.000000,0.852941,0.911765,0.029412,0.000000,0.058824,0.823529,0.235294,0.235294,0.058824,0.058824,0.088235,0.117647,0.029412,0.029412,0.000000,0.000000,0.029412,0.029412,0.000000,0.000000,0.000000,0.000000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,祝英台近,37,78.054054,88.000000,84.000000,100.000000,0.486486,0.756757,0.081081,0.000000,0.162162,0.486486,0.621622,0.621622,0.162162,0.162162,0.108108,0.162162,0.243243,0.243243,0.054054,0.054054,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,菩萨蛮,42,86.476190,100.000000,76.000000,100.000000,0.571429,0.666667,0.285714,0.023810,0.023810,0.571429,0.952381,0.952381,0.023810,0.023810,0.404762,0.571429,0.309524,0.357143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,沁园春,36,45.888889,58.000000,0.000000,88.000000,0.222222,0.361111,0.138889,0.027778,0.472222,0.222222,5.111111,5.111111,0.305556,0.305556,0.388889,2.583333,0.277778,2.083333,0.083333,0.138889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,浪淘沙,34,55.411765,80.000000,0.000000,100.000000,0.441176,0.500000,0.088235,0.000000,0.411765,0.441176,1.647059,1.058824,0.382353,0.382353,0.147059,0.323529,0.117647,0.264706,0.058824,0.058824,0.029412,0.029412,0.588235,0.588235,0.000000,0.000000
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,清平乐,44,72.000000,88.000000,58.000000,100.000000,0.477273,0.545455,0.204545,0.090909,0.159091,0.477273,1.113636,1.113636,0.159091,0.159091,0.340909,0.409091,0.318182,0.386364,0.090909,0.159091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,祝英台近,37,47.243243,60.000000,0.000000,88.000000,0.216216,0.324324,0.189189,0.081081,0.405405,0.216216,1.351351,1.351351,0.405405,0.405405,0.216216,0.297297,0.297297,0.432432,0.135135,0.216216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,菩萨蛮,38,44.105263,34.000000,0.000000,100.000000,0.289474,0.368421,0.052632,0.105263,0.473684,0.289474,1.605263,1.605263,0.447368,0.447368,0.236842,0.526316,0.210526,0.447368,0.078947,0.184211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,沁园春,200,63.480000,88.000000,0.000000,100.000000,0.325000,0.515000,0.175000,0.045000,0.265000,0.320000,7.580000,7.580000,0.010000,0.010000,0.630000,4.115000,0.470000,3.400000,0.040000,0.050000,0.005000,0.005000,0.000000,0.000000,0.000000,0.000000
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,沁园春,200,74.660000,100.000000,75.000000,100.000000,0.570000,0.665000,0.105000,0.035000,0.195000,0.570000,4.520000,4.520000,0.005000,0.005000,0.380000,2.560000,0.340000,1.855000,0.045000,0.090000,0.010000,0.010000,0.000000,0.000000,0.000000,0.000000
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,沁园春,149,41.718121,0.000000,0.000000,100.000000,0.322148,0.382550,0.046980,0.026846,0.543624,0.315436,5.570470,5.570470,0.355705,0.355705,0.302013,2.838926,0.241611,2.302013,0.046980,0.053691,0.020134,0.020134,0.000000,0.000000,0.000000,0.000000
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,沁园春,99,18.585859,0.000000,0.000000,40.000000,0.010101,0.040404,0.141414,0.161616,0.656566,0.010101,15.101010,15.101010,0.080808,0.080808,0.898990,8.878788,0.777778,5.969697,0.131313,0.171717,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,沁园春,100,79.760000,88.000000,76.000000,100.000000,0.470000,0.700000,0.150000,0.040000,0.110000,0.470000,2.740000,2.740000,0.020000,0.020000,0.450000,1.590000,0.300000,1.080000,0.030000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2,沁园春-改革主题,type_e,qwen3.6-plus,沁园春,65,28.676923,0.000000,0.000000,76.000000,0.184615,0.246154,0.046154,0.046154,0.661538,0.184615,7.200000,7.200000,0.415385,0.415385,0.384615,3.692308,0.353846,2.876923,0.076923,0.200000,0.015385,0.015385,0.000000,0.000000,0.000000,0.000000
